audio_filepath	duration	text
F:\vlsp2020_train_set_02\database\database_sa4_Mar17_toApril11_cleaned_utt_0000045183-1.wav	1.77	ghi đi nhìn gì nữa
F:\vlsp2020_train_set_02\database\database_sa4_Mar17_toApril11_cleaned_utt_0000098607-1.wav	1.8	giúp anh có được không
F:\vlsp2020_train_set_02\database\database_sa2_Feb29_Mar06_Mar17_toApril06_cleaned_utt_0000198988-1.wav	3.74	biết như thế rồi mà còn làm loạn hết cả lên hai người họ yêu nhau có cái gì đâu
F:\vlsp2020_train_set_02\database\database_sa3_Jan21_Apr24_cleaned_utt_0000142629-1.wav	4.23	chương trình thời sự tối nay của đài phát thanh và truyền hình thừa thiên huế đến đây xin được kết thúc
F:\vlsp2020_train_set_02\database\database_sa2_Feb29_Mar06_Mar17_toApril06_cleaned_utt_0000066341-1.wav	1.77	không có nói nhiều
F:\vlsp2020_train_set_02\database\database_sa3_1_150h_15Jan2020_cleaned_utt_0000068771-1.wav	5.32	chỉ huy bảo bây giờ phải bắn lúc cất cánh thế tôi nhớ có một lần mà tôi kỉ niệm mãi
F:\vlsp2020_train_set_02\database\database_sa4_Mar17_toApril11_cleaned_utt_0000073681-1.wav	1.86	không ạ à vâng đúng rồi ạ
F:\vlsp2020_train_set_02\database\database_sa1_Mar20_May04_cleaned_utt_0000044379-1.wav	3.57	tôi chưa bao giờ muốn quan hệ của chúng ta trên mức tình bạn
F:\vlsp2020_train_set_02\database\database_sa3_1_150h_15Jan2020_cleaned_utt_0000049400-1.wav	1.95	theo bộ nông nghiệp và phát triển nông thôn
F:\vlsp2020_train_set_02\database\database_sa4_2019-01-08_2020-03-16_cleaned_utt_0000078851-1.wav	6.11	tại hội thảo hay diễn giả chính là ông đa vít am trong ri a nguyên chủ tịch hiệu trưởng trường bờ râu oát cô lét
F:\vlsp2020_train_set_02\database\database_sa4_Mar17_toApril11_cleaned_utt_0000016652-1.wav	1.16	cho hẳn hai đôi
F:\vlsp2020_train_set_02\database\database_sa1_Mar20_May04_cleaned_utt_0000043477-1.wav	1.43	dừa dừa miệng hông ba
F:\vlsp2020_train_set_02\database\database_sa2_Feb29_Mar06_Mar17_toApril06_cleaned_utt_0000228893-1.wav	2.1	đó chính là mảnh ghép cuối cùng trong chuyến hành trình
F:\vlsp2020_train_set_02\database\database_sa2_Jan4_Feb29_cleaned_utt_0000012516-1.wav	4.44	còn nếu ấy chỉ để mà thì câu chuyện tham nhũng của chúng ta không bao giờ chống được
F:\vlsp2020_train_set_02\database\database_sa4_2019-01-08_2020-03-16_cleaned_utt_0000073458-1.wav	6.03	đón xem bộ phim hàn quốc tình ngây dại trên sóng nờ tê vê vào mười sáu giờ bốn lăm phút hàng ngày ngay sau
F:\vlsp2020_train_set_02\database\database_sa3_Jan21_Apr24_cleaned_utt_0000109206-1.wav	3.43	tức là gì khi mà họ chỉ đến họ chếch in thì mới tính tiền
F:\vlsp2020_train_set_02\database\database_sa4_Mar17_toApril11_cleaned_utt_0000059570-1.wav	4.41	thánh giống thì ngừ câu nói chuyện này mình đã được học từ nhỏ mà chắc lâu quá có thể bị quên
F:\vlsp2020_train_set_02\database\database_sa2_Feb29_Mar06_Mar17_toApril06_cleaned_utt_0000225981-1.wav	4.33	những giọng ca rất là hay mà làm cho hạ vân đam mê cái dòng nhạc này từ khi hạ vân rất là nhỏ
F:\vlsp2020_train_set_02\database\database_sa4_Mar17_toApril11_cleaned_utt_0000118759-1.wav	5.8	toàn là súc vật với đàn ông không đối với một người phụ nữ quá hoàn hảo chú nghĩ coi
F:\vlsp2020_train_set_02\database\database_sa2_Feb29_Mar06_Mar17_toApril06_cleaned_utt_0000061453-1.wav	2.59	vậy là em nó đã chính thức có đại gia khách cứng
F:\vlsp2020_train_set_02\database\database_sa2_Feb29_Mar06_Mar17_toApril06_cleaned_utt_0000115604-1.wav	4.61	tôi thấy mấy bà hổng có tập trung học gì hết á toàn làm việc riêng không à thôi tôi đi dề
F:\vlsp2020_train_set_02\database\database_sa4_2019-01-08_2020-03-16_cleaned_utt_0000041884-1.wav	4.89	à công trình hạ tầng này là sẽ thu hút được cái lượng khách du lịch trên địa bàn để làm cái thay đổi
F:\vlsp2020_train_set_02\database\database_sa1_Mar20_May04_cleaned_utt_0000069141-1.wav	2.92	anh có kì nghỉ ho lâu đây nào không hay là
F:\vlsp2020_train_set_02\database\database_sa1_Mar20_May04_cleaned_utt_0000068543-1.wav	2.45	cao đó lệ quyên ô kê rồi bác ơi
F:\vlsp2020_train_set_02\database\database_sa2_Jan4_Feb29_cleaned_utt_0000131695-1.wav	3.39	ních bí quyết giảm cân giữ dáng
F:\vlsp2020_train_set_02\database\database_sa3_Jan21_Apr24_cleaned_utt_0000130322-1.wav	3.72	người ta cũng có thể tìm hiểu về cảnh ngổ của nhửng con voi voi
F:\vlsp2020_train_set_02\database\database_sa2_Jan4_Feb29_cleaned_utt_0000054841-2.wav	1.69	 hình như là sai rồi
F:\vlsp2020_train_set_02\database\database_sa2_Feb29_Mar06_Mar17_toApril06_cleaned_utt_0000198685-1.wav	5.63	làm gì chuyện nó tặng tất cả những thứ quý giá đi như thế nghĩ thật kỹ đi rốt cuộc có chuyện gì nhở
F:\vlsp2020_train_set_02\database\database_sa4_Mar17_toApril11_cleaned_utt_0000028084-1.wav	3.01	dậy dậy giờ này con phải ở trường quay rồi chứ
F:\vlsp2020_train_set_02\database\database_sa3_1_150h_15Jan2020_cleaned_utt_0000000219-1.wav	3.08	nơi địa đầu của tổ quốc ngày hôm nay chương trình đã mời tới trường quay
F:\vlsp2020_train_set_02\database\database_sa2_Feb29_Mar06_Mar17_toApril06_cleaned_utt_0000218878-1.wav	4.59	thôi phấn chấn lên cô ý hoảng loạn bởi vì là đang nghi ngờ thôi bây giờ ý ông phải kiên trì
F:\vlsp2020_train_set_02\database\database_sa4_Mar17_toApril11_cleaned_utt_0000061120-1.wav	4.05	cuộc thi quý của chúng ta sẽ được bắt đầu ngay bây giờ với phần thi khởi động
F:\vlsp2020_train_set_02\database\database_sa1_Mar20_May04_cleaned_utt_0000010117-1.wav	5.66	thiệt là bà già từ lúc đầu còn chưa chấp nhận sau khi chấp nhận rồi là đến lo cho con
F:\vlsp2020_train_set_02\database\database_sa2_Feb29_Mar06_Mar17_toApril06_cleaned_utt_0000219095-2.wav	1.32	 tháng sau anh nhá
