audio_filepath	duration	text
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_002947.wav	3.60098	tôi phải xuống ở đâu để đi đến tòa thị chính thành phố
F:\archive\mp3V2\FPTOpenSpeechData_Set002_V0.1_001308.wav	4.296	tất cả giúp tôi trụ được với nghề ít nhất là cho đến ngày hôm nay
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_008813.wav	2.18498	đang thảo luận về đề xuất
F:\archive\mp3V2\FPTOpenSpeechData_Set002_V0.1_002138.wav	4.008	gia đình còn nghèo khó khăn bữa ăn phải độn khoai sắn ngô
F:\archive\mp3V2\FPTOpenSpeechData_Set002_V0.1_005321.wav	4.104	dạ tôi chưa biết rõ nhưng chắc chắn tôi sẽ cố gắng
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_002568.wav	2.68898	anh ấy nói nó tùy thuộc vào giờ nào trong ngày
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_001131.wav	1.72898	bóng đã được đá lên
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_012736.wav	1.99298	gần đây có quán cà phê không
F:\archive\mp3V2\FPTOpenSpeechData_Set002_V0.1_009767.wav	3.744	của các tổ chức đoàn thể công an
F:\archive\mp3V2\FPTOpenSpeechData_Set002_V0.1_001567.wav	3.984	mỹ và trung quốc đều là thành viên còn việt nam chưa là thành viên
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_013124.wav	1.34498	của thầy giáo
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_002478.wav	2.04098	anh có định ở lại đây lâu không
F:\archive\mp3V2\FPTOpenSpeechData_Set002_V0.1_002329.wav	4.608	nhưng ma xui quỷ khiến thế nào em lại ham cái môn xóc đĩa này
F:\archive\mp3V2\FPTOpenSpeechData_Set002_V0.1_010069.wav	2.808	thứ nhất người mẹ không xinh như bài viết
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_004771.wav	1.53698	tại một trường đại học
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_000011.wav	2.01698	đừng lo tôi vừa mới đến rồi
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_000324.wav	2.95298	vui lòng cho tôi biết tàu sẽ khởi hành đúng giờ không
