audio_filepath	duration	text
F:\vivos\train\waves\VIVOSSPK24\VIVOSSPK24_008.wav	5.9375	tấm áo cưới lộng lẫy này khiến người ta liên tưởng đến cầu vồng rực rỡ xuất hiện sau cơn mưa
F:\vivos\train\waves\VIVOSSPK24\VIVOSSPK24_041.wav	5.5625	theo đó thiết kế phải đạt yêu cầu đơn giản và tối thiểu nhất cho nhu cầu cuộc sống
F:\vivos\train\waves\VIVOSSPK24\VIVOSSPK24_047.wav	8.3125	khi chích tuyệt đối không được tiêm vô mạch máu tránh tiêm vô hạch bạch huyết vì có thể gây ra phản ứng phụ khác như sưng viêm chỗ chích
F:\vivos\train\waves\VIVOSSPK24\VIVOSSPK24_048.wav	5.875	bất chợt một con dừng lại trước cửa kính của cửa hàng chuyên bán đồ gia dụng
F:\vivos\train\waves\VIVOSSPK24\VIVOSSPK24_065.wav	5.90625	ngọ la rầy nó lại đòi thôi rồi nó hổng chịu coi tui là chồng
F:\vivos\train\waves\VIVOSSPK24\VIVOSSPK24_021.wav	5.0	tôi đã thấy qua cháu mình hình ảnh giới trẻ không bàng quan với sự kiện đất nước
F:\vivos\train\waves\VIVOSSPK24\VIVOSSPK24_063.wav	8.125	gặng hỏi và điều tra gần một tuần lễ gia đình đã phải nhờ chuyên gia tâm lý để giải tỏa những ấm ức trong lòng thủy
F:\vivos\train\waves\VIVOSSPK24\VIVOSSPK24_082.wav	8.34375	cũng có ý kiến chị thật gan khi dựng một vở bi kịch nặng nề trong thời điểm kịch giải trí thắng thế hiện nay
F:\vivos\train\waves\VIVOSSPK24\VIVOSSPK24_068.wav	4.5	thầy lê đức ánh nói rèn luyện tư duy chứ không lấp đầy kiến thức
F:\vivos\train\waves\VIVOSSPK24\VIVOSSPK24_011.wav	7.90625	nguồn dinh dưỡng được cung cấp qua thức ăn hàng ngày là một trong những yếu tố quan trọng giúp mái tóc trở nên khỏe mạnh và óng ả
F:\vivos\train\waves\VIVOSSPK24\VIVOSSPK24_072.wav	6.15625	cảnh sát cho biết những quả bom này không đủ mạnh để phá huỷ cấu trúc của các toà nhà này
F:\vivos\train\waves\VIVOSSPK24\VIVOSSPK24_073.wav	7.6875	theo tôi đã đến lúc cần phải nhanh chóng xây dựng một nền móng cơ bản và vững chắc cho ngành khí tượng thủy văn nước nhà
F:\vivos\train\waves\VIVOSSPK24\VIVOSSPK24_079.wav	8.75	mấy hôm sau một buổi giao lưu ca nhạc từ thiện vì người giàu có truyền hình trực tiếp được tổ chức và tôi là khách mời đặc biệt
F:\vivos\train\waves\VIVOSSPK24\VIVOSSPK24_010.wav	6.125	từ đó đến giờ giới học thuật trên thế giới coi đó là lý thuyết căn bản và chủ đạo
F:\vivos\train\waves\VIVOSSPK24\VIVOSSPK24_054.wav	6.40625	thầy nguyễn tùng lâm hiện tượng học sinh mới đến trường bị bắt nạt bởi học sinh cũ là có thật
F:\vivos\train\waves\VIVOSSPK24\VIVOSSPK24_006.wav	8.25	vốn là một võ sư lão luyện giang hồ lý quân chỉ cần thoáng qua nhận ra nơi chàng trai việt những tố chất hơn người
F:\vivos\train\waves\VIVOSSPK24\VIVOSSPK24_028.wav	9.5625	vẫn trong căn nhà đơn sơ của vợ chồng bà thành ông trường tôi gặp cả vợ chồng bà lý ông nhật mẹ và cha của anh tin
F:\vivos\train\waves\VIVOSSPK24\VIVOSSPK24_058.wav	6.9375	nó biết mình không được phép đổ xuống nó phải thay ba nhất định nó phải thay ba
