audio_filepath	duration	text
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_008203.wav	2.71298	để hốt khách lên xe càng sớm càng tốt
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_000666.wav	2.95298	cái này có bao gồm giá bữa ăn sáng không
F:\archive\mp3V2\FPTOpenSpeechData_Set002_V0.1_005858.wav	4.296	cả hai người đều là giáo viên con cái cũng đã lớn cả
F:\archive\mp3V2\FPTOpenSpeechData_Set002_V0.1_011763.wav	3.504	khi thăm khám lúc cương vẫn thấy mảng xơ sẹo
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_000260.wav	2.92898	làm ơn cho tôi loại thứ hai
F:\archive\mp3V2\FPTOpenSpeechData_Set002_V0.1_008932.wav	3.096	có nhà hàng ăn món ý nào ngon không
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_013821.wav	1.871	tôi đang cho thuốc giảm
F:\archive\mp3V2\FPTOpenSpeechData_Set002_V0.1_001877.wav	4.176	lần thứ ba tôi cố ý đi thật sớm
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_014063.wav	1.48898	dĩ nhiên đừng lo
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_006289.wav	1.27298	tôi mặc gì được
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_005966.wav	1.77698	tôi đã đăng ký một phòng
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_008937.wav	1.89698	quí vị đã đi du lịch bao lâu
F:\archive\mp3V2\FPTOpenSpeechData_Set002_V0.1_003235.wav	4.368	chồng đi rồi thảo mới chủ tâm tìm hiểu
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_011196.wav	2.08898	tôi sẽ làm việc đó tạm biệt
F:\archive\mp3V2\FPTOpenSpeechData_Set002_V0.1_005940.wav	3.456	chị mai do vết thương chưa lành chỉ biết nằm khóc
F:\archive\mp3V2\FPTOpenSpeechData_Set002_V0.1_002875.wav	3.84	nửa năm một năm rồi đã ba năm qua tôi không có bài đăng báo
F:\archive\mp3V2\FPTOpenSpeechData_Set002_V0.1_011123.wav	4.704	tôi thường hỏi châu sau mỗi đoạn em có suy nghĩ gì về cách giải
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_000139.wav	3.21698	vậy điều gì ủng hộ ý tưởng táo bạo trên
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_012773.wav	1.48898	nó là của anh
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_004159.wav	2.73698	thuốc của anh đây hãy uống ba viên ba lần một ngày
F:\archive\mp3V2\FPTOpenSpeechData_Set002_V0.1_006355.wav	3.384	khi đã có mặt bằng sạch đất được đưa ra đấu giá
F:\archive\mp3V2\FPTOpenSpeechData_Set002_V0.1_011686.wav	4.656	ông năm chỉ kịp la lên chạy ra ngoài đường rồi khụy xuống
F:\archive\mp3V2\FPTOpenSpeechData_Set002_V0.1_006491.wav	4.464	khi phải che giấu chắc hẳn họ phải có lý do riêng
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_013465.wav	1.84898	cho tôi xem thẻ ngân hàng
F:\archive\mp3V2\FPTOpenSpeechData_Set002_V0.1_002735.wav	3.408	ngay từ đầu chỉ nên dùng kháng sinh có phổ hẹp
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_004221.wav	2.20898	khi nào anh được nghỉ phép
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_007058.wav	2.59298	anh cho phép chúng tôi tạm nghỉ được không
F:\archive\mp3V2\FPTOpenSpeechData_Set002_V0.1_005719.wav	3.744	lúc đó tôi đang ở mỹ con trai chưa đầy tháng
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_012943.wav	2.47298	các nhân viên tuyển mới sẽ được thuê vào tháng tư
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_006608.wav	4.56098	nói theo cách khác nhện cái không ưa gì những anh chàng lạ mắt
F:\archive\mp3V2\FPTOpenSpeechData_Set002_V0.1_007924.wav	3.216	trong cuộc sống điều gì khiến chị trân trọng nhất
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_011265.wav	2.59298	những ngón chân lơ đãng ngoay ngoáy
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_000706.wav	1.80098	chị bây giờ đã nhẹ người
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_000030.wav	2.61698	chúng ta không thể mua cái nào ở nhật bản
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_007585.wav	2.92898	chín mươi chín đô la trong một phần của năm đô la
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_004882.wav	3.00098	các địa điểm cắm trại gần nhất ở đâu
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_011082.wav	4.68098	có bao nhiêu gồm gồm chi phí sưởi nóng không
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_006360.wav	2.32898	tôi xin lỗi tôi không thể nghe rõ
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_013348.wav	1.87298	tôi cần một bộ đồ ngủ
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_008768.wav	1.94498	vẽ tranh trên dưa để đón tết
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_001077.wav	1.60898	ăn cắp ăn trộm bị chặt tay
F:\archive\mp3V2\FPTOpenSpeechData_Set002_V0.1_010228.wav	3.912	nâng cao chất lượng việc làm giảm tỉ lệ việc làm kém bền vững
F:\archive\mp3V2\FPTOpenSpeechData_Set002_V0.1_002183.wav	2.808	bạn có thể giúp đỡ tôi đặt trước khách sạn không
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_010506.wav	1.75298	họ của anh à
F:\archive\mp3V2\FPTOpenSpeechData_Set002_V0.1_000692.wav	4.512	đó là hệ thống lò sưởi cứu hỏa bảo vệ chống trộm
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_010607.wav	3.57698	những từ cần phải lắng nghe lời gọi cuối cùng
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_004332.wav	1.80098	chúng tôi không có cỡ khác
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_010861.wav	1.89698	hai mươi hai mươi mốt
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_008686.wav	2.28098	tôi muốn mua một vé hạng hai
F:\archive\mp3V2\FPTOpenSpeechData_Set002_V0.1_008057.wav	2.76	theo quan điểm an toàn đây là không thể chấp nhận
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_008318.wav	1.80098	búa tạ bằng nhựa
F:\archive\mp3V2\FPTOpenSpeechData_Set002_V0.1_010120.wav	2.64	tuy nhiên không hẳn lúc nào cũng như vậy
F:\archive\mp3V2\FPTOpenSpeechData_Set002_V0.1_010433.wav	3.864	bên cạnh đó sẽ tăng cường công tác tuyển công chức nguồn
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_013319.wav	1.39298	anh nên tập thể dục nhiều hơn
F:\archive\mp3V2\FPTOpenSpeechData_Set002_V0.1_011704.wav	3.744	không đồng ý với bản án sơ thẩm ông tiếng đã kháng cáo
F:\archive\mp3V2\FPTOpenSpeechData_Set002_V0.1_005268.wav	3.504	nhìn sang bạn bè lòng tôi càng trào lên một nỗi ghen tị
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_011423.wav	3.57698	chính phủ khuyến khích dân nông thôn cải thiện mức sống
F:\archive\mp3V2\FPTOpenSpeechData_Set002_V0.1_002976.wav	2.712	nghe được câu nói ấy gia đình tôi vui lắm
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_010025.wav	3.16898	anh có thể thử hớt tại một quầy khác
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_010811.wav	2.06904	anh ta có một người thân sống gần
F:\archive\mp3V2\FPTOpenSpeechData_Set002_V0.1_000747.wav	3.264	đã vậy tưởng đi rừng mặc quần ngắn cho tiện
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_013800.wav	1.51298	tôi đang bận họp
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_012226.wav	4.80098	nói cách khác cái được của châu á là cái mất của châu phi
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_014007.wav	3.19298	cảm phiền tôi muốn lấy toàn đồng hai mươi đô la mỹ
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_008766.wav	3.84098	thị trường đông nam á cần nhiều máy bay
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_004244.wav	2.35298	tôi có thể dùng vé thường này không
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_011775.wav	3.33698	âm thanh này có luân phiên vang lên trong tai không
F:\archive\mp3V2\FPTOpenSpeechData_Set002_V0.1_000444.wav	2.893	say mê khảo cổ việt nam
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_008118.wav	2.20898	xin lỗi tôi có thể gặp bác sỹ không
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_006755.wav	4.27298	ồ đây là một câu hỏi rất thú vị
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_011048.wav	1.80098	tôi có thể mua vé xe buýt ở đâu
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_002819.wav	4.89698	anh có thể vui lòng cho tôi biết tôi có thể đổi tiền lẻ ở đâu không
F:\archive\mp3V2\FPTOpenSpeechData_Set002_V0.1_005689.wav	4.176	khi tôi định bắt tay ông ấy ông ấy nhìn và từ chối
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_003779.wav	2.11298	em có thể mang về nhà được không
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_001427.wav	3.86498	không có chồng mà có con mày nghỉ sẽ như thế nào
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_010289.wav	1.72898	hãy gọi xe cấp cứu cho tôi
F:\archive\mp3V2\FPTOpenSpeechData_Set002_V0.1_000271.wav	4.296	bê tông có khả năng thấm hút nhanh giải pháp chống ngập lụt ở anh
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_008176.wav	2.37698	đầu tư cho công nghệ cao còn quá thấp
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_005992.wav	2.25698	trông anh như đã chết và lên thiên đường
F:\archive\mp3V2\FPTOpenSpeechData_Set002_V0.1_002800.wav	4.056	hậu vừa cướp tài sản vừa suýt lấy mạng con gái nhà hàng xóm
