audio_filepath	duration	text
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_000001.wav	1.27298	cách để đi
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_000003.wav	2.52098	anh có thể gọi tôi không
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_000004.wav	3.43298	có rất nhiều yếu tố may rủi ở đây
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_000006.wav	2.37698	có cửa hàng tiện lợi ở sân bay không
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_000007.wav	1.48898	anh đổi ngoại tệ được không
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_000008.wav	4.17698	cô ấy mua hai mươi trái chôm chôm và ba con cá
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_000009.wav	5.56898	đứa bé có ói òng ọc ra sữa hoặc nước và bé chưa đến mười tuần tuổi hoặc có biểu hiện mất nước không
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_000010.wav	5.83298	tôi có thể viết tên địa chỉ số điện thoại của công ty bảo hiểm của anh được không
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_000011.wav	2.01698	đừng lo tôi vừa mới đến rồi
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_000014.wav	2.47298	anh rửa hình kỹ thuật số ra được không
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_000017.wav	8.21094	quân đội mỹ muốn chế tạo những máy tự động hoàn toàn vì những chiếc mà họ đang có vẫn cần được điều khiển bởi con người
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_000019.wav	6.16898	dư luận đã phản ánh lên cơ quan địa chính của thị trấn nhưng mãi chả thấy hồi âm
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_000022.wav	4.17698	nếu làm lộ thiên cơ âm binh sẽ đánh trả thầy
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_000024.wav	3.05767	anh có thích tôi giữ trước quyển sách này cho anh không
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_000025.wav	6.15894	ở người bị hội chứng khi ăn ngủ phần não phải vẫn thức và sau đó là cả các dạng hoạt động thể chất
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_000028.wav	3.48098	nơi đây hiện khá yên tĩnh
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_000029.wav	4.77698	nhưng cũng có những bạn nằm khèo ở nhà trùm mềm và khóc nhè
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_000030.wav	2.61698	chúng ta không thể mua cái nào ở nhật bản
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_000031.wav	3.31298	cho vừa với số kinh phí hạn hẹp của một bộ phim
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_000033.wav	7.36898	chính vì thế những người phải sống một thời gian dài trong không gian có thể gặp rủi ro
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_000034.wav	11.233	thực ra thà không đến nỗi mơ mộng đến mê muội để chẳng hiểu tấm lòng của những người thân thông qua lời khuyên nhủ
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_000037.wav	6.40898	hôm thứ năm ủy ban bầu cử thái lan cho rằng đảng của người thái yêu người thái đã phạm hai luật trong chiến dịch tranh cử vừa qua
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_000041.wav	2.88098	tết đầu tiên xa việt nam của cháu quả là ý nghĩa
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_000042.wav	3.19298	trong làng ai cũng quý mến gia đình anh phú
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_000044.wav	2.04098	anh đã làm rất tệ
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_000049.wav	2.61698	nhiều chàng trai để ý và theo dõi bạn
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_000052.wav	12.9269	nguyễn văn vũ vừa tử nạn vì hỗ trợ đuổi bắt tội phạm ngày mười ba tháng một công an xã cẩm trạch huyện cần cẩu cho biết một người lái xe khách hai bảy tuổi đã tử nạn khi giúp một phụ nữ bị bảy tên khống chế cướp tài sản
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_000053.wav	5.64098	hai con voi này rất hung dữ và phá nát nhiều hoa màu của người dân trong khu vực
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_000054.wav	2.16098	anh có bị đau do mệt mỏi không
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_000055.wav	4.03298	bạn có muốn tôi dịch cái này cho bạn không tôi nói tiếng nhật
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_000056.wav	2.37698	vâng giá sẽ là ba trăm yên
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_000057.wav	2.08898	và như thế những điều tốt đẹp
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_000058.wav	2.25698	tăng nhiệt độ lên hai mươi mốt độ
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_000061.wav	10.8029	kỳ tích có thể để lại quyền lực bởi một nhà độc tài dầu mỏ nhưng cũng có thể giúp thể chế hóa những phong trào chống mỹ diễn ra tại khu vực trung đông
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_000062.wav	3.07298	lãnh đạo ngành ô tô mỹ nên từ chức
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_000063.wav	1.27298	cô ấy biết
