audio_filepath	duration	text
FPTOpenSpeechData_Set001_V0.1_000001.mp3	1.27298	cách để đi
FPTOpenSpeechData_Set001_V0.1_000002.mp3	3.79298	họ đã xét nghiệm máu cho cheng nhưng mọi thứ vẫn hoàn toàn bình thường
FPTOpenSpeechData_Set001_V0.1_000003.mp3	2.52098	anh có thể gọi tôi không
FPTOpenSpeechData_Set001_V0.1_000004.mp3	3.43298	có rất nhiều yếu tố may rủi ở đây
FPTOpenSpeechData_Set001_V0.1_000005.mp3	3.93698	ai là chúa nói dối
FPTOpenSpeechData_Set001_V0.1_000006.mp3	2.37698	có cửa hàng tiện lợi ở sân bay không
FPTOpenSpeechData_Set001_V0.1_000007.mp3	1.48898	anh đổi ngoại tệ được không
FPTOpenSpeechData_Set001_V0.1_000008.mp3	4.17698	cô ấy mua hai mươi trái chôm chôm và ba con cá
FPTOpenSpeechData_Set001_V0.1_000009.mp3	5.56898	đứa bé có ói òng ọc ra sữa hoặc nước và bé chưa đến mười tuần tuổi hoặc có biểu hiện mất nước không
FPTOpenSpeechData_Set001_V0.1_000010.mp3	5.83298	tôi có thể viết tên địa chỉ số điện thoại của công ty bảo hiểm của anh được không
FPTOpenSpeechData_Set001_V0.1_000011.mp3	2.01698	đừng lo tôi vừa mới đến rồi
FPTOpenSpeechData_Set001_V0.1_000012.mp3	2.11298	mười phút nữa vào giờ rưỡi
FPTOpenSpeechData_Set001_V0.1_000013.mp3	2.88098	tôi có thể hẹn cho chiều mai không
FPTOpenSpeechData_Set001_V0.1_000014.mp3	2.47298	anh rửa hình kỹ thuật số ra được không
FPTOpenSpeechData_Set001_V0.1_000015.mp3	4.22498	tôi cố thu xếp thôi
FPTOpenSpeechData_Set001_V0.1_000016.mp3	1.89698	tôi không dùng ma túy
FPTOpenSpeechData_Set001_V0.1_000017.mp3	8.21094	quân đội mỹ muốn chế tạo những máy tự động hoàn toàn vì những chiếc mà họ đang có vẫn cần được điều khiển bởi con người
FPTOpenSpeechData_Set001_V0.1_000018.mp3	2.23298	tôi quên túi đeo vai trong xe tắc xi
