audio_filepath	duration	text
F:\vlsp2020_train_set_02\database\database_sa3_Jan21_Apr24_cleaned_utt_0000058736-1.wav	6.23	trong đó ngành công nghiệp chế biến chế tạo tăng mười hai phẩy ba phần trăm cấp nước và thu gom rác thải tăng hai phẩy ba mươi bảy phần trăm
F:\vlsp2020_train_set_02\database\database_sa4_Mar17_toApril11_cleaned_utt_0000045183-1.wav	1.77	ghi đi nhìn gì nữa
F:\vlsp2020_train_set_02\database\database_sa4_2019-01-08_2020-03-16_cleaned_utt_0000062208-1.wav	7.13	mỗi năm dây chuyền này có thể sản xuất được ba mươi lăm nghìn liều tinh bò ba bê chất lượng cao phân phối cho các tỉnh thành trên cả nước
F:\vlsp2020_train_set_02\database\database_sa4_Mar17_toApril11_cleaned_utt_0000098607-1.wav	1.8	giúp anh có được không
F:\vlsp2020_train_set_02\database\database_sa2_Jan4_Feb29_cleaned_utt_0000062026-1.wav	7.21	một nhà nghiên cứu ở trong nước cho rằng việt nam và phi líp bin nên hợp tác ngăn chặn việc trung quốc phá hủy hệ sinh thái ở biển đông
F:\vlsp2020_train_set_02\database\database_sa2_Feb29_Mar06_Mar17_toApril06_cleaned_utt_0000198988-1.wav	3.74	biết như thế rồi mà còn làm loạn hết cả lên hai người họ yêu nhau có cái gì đâu
F:\vlsp2020_train_set_02\database\database_sa3_Jan21_Apr24_cleaned_utt_0000142629-1.wav	4.23	chương trình thời sự tối nay của đài phát thanh và truyền hình thừa thiên huế đến đây xin được kết thúc
F:\vlsp2020_train_set_02\database\database_sa4_2019-01-08_2020-03-16_cleaned_utt_0000042829-1.wav	6.84	khu vực nông lâm nghiệp và thủy sản chín tháng đạt mức tăng trưởng thấp giá xuất khẩu bình quân của nhiều nông sản giảm so với cùng kỳ năm trước
F:\vlsp2020_train_set_02\database\database_sa2_Feb29_Mar06_Mar17_toApril06_cleaned_utt_0000066341-1.wav	1.77	không có nói nhiều
F:\vlsp2020_train_set_02\database\database_sa3_1_150h_15Jan2020_cleaned_utt_0000068771-1.wav	5.32	chỉ huy bảo bây giờ phải bắn lúc cất cánh thế tôi nhớ có một lần mà tôi kỉ niệm mãi
