audio_filepath	duration	text
/kaggle/input/vlsp2020/vlsp2020_train_set_02/speaker/811/speaker_811-118025-1.wav	5.09	khi đó nhu cầu nhà ở văn phòng của người nước ngoài cũng tăng theo
/kaggle/input/vlsp2020/vlsp2020_train_set_02/speaker/811/speaker_811-023817-1.wav	3.15	tôi không bao giờ hài lòng với những gì mình có
/kaggle/input/vlsp2020/vlsp2020_train_set_02/speaker/811/speaker_811-100617-1.wav	5.2053125	giá vàng trong nước giảm mạnh do ảnh hưởng từ sự sụt giảm của thị trường vàng thế giới
/kaggle/input/vlsp2020/vlsp2020_train_set_02/speaker/811/speaker_811-210256-1.wav	5.57	pháp luật có nhiều nội dung và cách hiểu khác nhau làm sao để có sự áp dụng thống nhất
/kaggle/input/vlsp2020/vlsp2020_train_set_02/speaker/811/speaker_811-034313-1.wav	5.838	giá trị tài sản mất mát năm hai nghìn không trăm mười một năm phẩy năm tỷ nhân dân tệ
/kaggle/input/vlsp2020/vlsp2020_train_set_02/speaker/811/speaker_811-221520-1.wav	4.0195625	tùy theo biến chứng xuất hiện mà điều chỉnh chế độ ăn cho phù hợp
/kaggle/input/vlsp2020/vlsp2020_train_set_02/speaker/811/speaker_811-335952-1.wav	4.0866875	nhưng ai cũng biết điểm nhấn trên khuôn mặt ông lại là nụ cười
/kaggle/input/vlsp2020/vlsp2020_train_set_02/speaker/811/speaker_811-411728-1.wav	3.22	nếu phải tham gia thì tham gia bằng cách nào
/kaggle/input/vlsp2020/vlsp2020_train_set_02/speaker/811/speaker_811-347472-1.wav	4.736875	năm hai nghìn không trăm mười lăm được chọn là năm an toàn vệ sinh thực phẩm
/kaggle/input/vlsp2020/vlsp2020_train_set_02/speaker/811/speaker_811-088841-1.wav	2.9866875	thưa ông thế nào là bài làm độc đáo sáng tạo
/kaggle/input/vlsp2020/vlsp2020_train_set_02/speaker/811/speaker_811-404304-1.wav	3.62	hải quân đưa mười hai ngư dân gặp nạn về bờ an toàn
