audio_filepath	duration	text
F:\vlsp2020_train_set_02\database\database_sa2_Jan4_Feb29_cleaned_utt_0000056695-1.wav	4.29	có một thời người ta biết bầu trời một cách tự nhiên
F:\vlsp2020_train_set_02\database\database_sa3_Jan21_Apr24_cleaned_utt_0000105316-1.wav	2.81	sau khi từng yêu cầu dẫn độ ông thanh về nước
F:\vlsp2020_train_set_02\database\database_sa3_Jan21_Apr24_cleaned_utt_0000052060-1.wav	6.96	có bà trần ngọc anh từ bà rịa vũng tàu phải nhập viện cấp cứu cuộc biểu tình của dân oan các tỉnh miền nam trong ngày đầu năm mới là một
F:\vlsp2020_train_set_02\database\database_sa2_Jan4_Feb29_cleaned_utt_0000033154-1.wav	4.2	có sự hiểu lầm vào lúc ban đầu nhưng tôi vẫn kiên trì theo đuổi tới cùng
F:\vlsp2020_train_set_02\database\database_sa2_Feb29_Mar06_Mar17_toApril06_cleaned_utt_0000025988-1.wav	3.98	trước đó hồi tháng năm trung quốc đưa giàn khoan hải dương chín tám một
F:\vlsp2020_train_set_02\database\database_sa2_Feb29_Mar06_Mar17_toApril06_cleaned_utt_0000181188-1.wav	2.23	cơ hội ghi điểm dành cho ba thí sinh còn lại
F:\vlsp2020_train_set_02\database\database_sa3_1_150h_15Jan2020_cleaned_utt_0000032711-1.wav	2.01	cái nguyên nhân rất đơn giản là gì
F:\vlsp2020_train_set_02\database\database_sa2_Jan4_Feb29_cleaned_utt_0000083215-1.wav	1.53	mẹ muốn con dâu là thay 
F:\vlsp2020_train_set_02\database\database_sa4_2019-01-08_2020-03-16_cleaned_utt_0000029149-1.wav	6.48	ý kiến để trình lên ủy ban nhân dân tỉnh và phía hàn quốc điều chỉnh chiều cao kích thước của bức tượng nhỏ xuống dưới bốn mét
F:\vlsp2020_train_set_02\database\database_sa3_Jan21_Apr24_cleaned_utt_0000133744-1.wav	4.29	của một người gốc phi châu điều đó khiến tôi tự hào
F:\vlsp2020_train_set_02\database\database_sa2_Feb29_Mar06_Mar17_toApril06_cleaned_utt_0000170156-1.wav	3.81	còn nếu mà tổ chức trong cuộc bầu cử đặc biệt bình thường với các thành phố khác á
F:\vlsp2020_train_set_02\database\database_sa3_Jan21_Apr24_cleaned_utt_0000055786-1.wav	7.09	những nỗ lực sửa đổi hiến pháp bắt đầu hầu như ngay vào lúc văn kiện này có hiệu lực vào năm một nghìn bảy trăm tám mươi chín
F:\vlsp2020_train_set_02\database\database_sa4_Mar17_toApril11_cleaned_utt_0000096895-1.wav	7.14	mà có ba em xi và hai trăm triệu được dành tặng cho hai bạn chúc hai bạn may mắn
F:\vlsp2020_train_set_02\database\database_sa4_Mar17_toApril11_cleaned_utt_0000050493-1.wav	5.49	các bạn đã sẵn sàng leo núi như thế nào cả ba thí sinh đều đưa ra cùng một đáp án
F:\vlsp2020_train_set_02\database\database_sa2_Jan4_Feb29_cleaned_utt_0000141345-1.wav	4.22	tôi chính là diễn viên múa trong tiết mục hò bá trạo
F:\vlsp2020_train_set_02\database\database_sa4_2019-01-08_2020-03-16_cleaned_utt_0000041229-1.wav	6.41	trong đó thu nội địa ước đạt ba nghìn không trăm năm mươi mốt phẩy tám tỉ đồng bằng bốn mươi sáu phần trăm dự toán tăng hai mươi sáu phần trăm
F:\vlsp2020_train_set_02\database\database_sa4_Mar17_toApril11_cleaned_utt_0000069423-1.wav	2.2	à vâng từ giải mã ở đây là bằng chữ hát
F:\vlsp2020_train_set_02\database\database_sa4_2019-01-08_2020-03-16_cleaned_utt_0000024395-1.wav	6.99	tình trạng khai thác cát trái phép ngang nhiên tồn tại trong một thời gian dài khiến dư luận hoài nghi về hiệu lực của công tác quản lý nhà nước
F:\vlsp2020_train_set_02\database\database_sa2_Feb29_Mar06_Mar17_toApril06_cleaned_utt_0000178188-2.wav	2.58	 điểm của bạn quý long số điểm bốn mươi
F:\vlsp2020_train_set_02\database\database_sa3_1_150h_15Jan2020_cleaned_utt_0000045200-1.wav	1.07	chỉ sau đúng một ngày
F:\vlsp2020_train_set_02\database\database_sa2_Feb29_Mar06_Mar17_toApril06_cleaned_utt_0000081062-1.wav	2.89	trong một giây bí chỉ lấy một quả duy nhất
F:\vlsp2020_train_set_02\database\database_sa2_Feb29_Mar06_Mar17_toApril06_cleaned_utt_0000220191-1.wav	3.16	và đi hát bảo đảm sẽ có rất là nhiều người mời giọng hát này
F:\vlsp2020_train_set_02\database\database_sa2_Jan4_Feb29_cleaned_utt_0000013096-1.wav	4.52	ấm no trong năm mới với nhiều họa tiết mang đậm dấu ấn của người nam bộ
F:\vlsp2020_train_set_02\database\database_sa2_Feb29_Mar06_Mar17_toApril06_cleaned_utt_0000018533-1.wav	5.73	việc vượt biên cùng với trẻ em là rất nguy hiểm đặc biệt cho các em nhỏ và chúng ta phải ngăn chặn điều này
F:\vlsp2020_train_set_02\database\database_sa2_Feb29_Mar06_Mar17_toApril06_cleaned_utt_0000162427-1.wav	1.2	nghe em nói là vợ
F:\vlsp2020_train_set_02\database\database_sa3_1_150h_15Jan2020_cleaned_utt_0000046059-1.wav	2.03	vừa rủi ro vừa lợi nhuận dòng tiền
F:\vlsp2020_train_set_02\database\database_sa1_Jan08_Mar19_cleaned_utt_0000020336-1.wav	4.85	nhân nạn diệt chủng pôn pốt là những người mà bà đã đại diện trước tòa án khơ me đỏ
F:\vlsp2020_train_set_02\database\database_sa4_Mar17_toApril11_cleaned_utt_0000115135-1.wav	2.13	câu hỏi số tám chỉ có hai phương án đưa ra thôi
F:\vlsp2020_train_set_02\database\database_sa2_Jan4_Feb29_cleaned_utt_0000116228-1.wav	1.83	tại sao lại toàn nữ với trẻ em
F:\vlsp2020_train_set_02\database\database_sa3_Jan21_Apr24_cleaned_utt_0000105237-1.wav	3.54	đối với nhiều người nga đồng tính lối thoát là ra đi
F:\vlsp2020_train_set_02\database\database_sa2_Feb29_Mar06_Mar17_toApril06_cleaned_utt_0000176097-1.wav	3.38	à mình đâu có thấy ma đâu mà biết con ma sao mà sợ
F:\vlsp2020_train_set_02\database\database_sa2_Feb29_Mar06_Mar17_toApril06_cleaned_utt_0000038375-1.wav	6.45	tới ngày hôm sau thì em có một lớp ở trên trung tâm văn hóa em có gọi cho cô ấy hỏi là em có muốn học không thì lên đây anh dạy cho
F:\vlsp2020_train_set_02\database\database_sa2_Jan4_Feb29_cleaned_utt_0000033108-1.wav	6.68	chúng tôi cũng có nghe về việc là những cái khóa học về giá trị sống được sử dụng trong các trung tâm cai nghiện ma túy
F:\vlsp2020_train_set_02\database\database_sa2_Feb29_Mar06_Mar17_toApril06_cleaned_utt_0000217740-1.wav	2.28	nó là nó ở chung với thằng kia chứ nó bị lây bệnh 
