F:\archive\mp3V2\FPTOpenSpeechData_Set002_V0.1_004724.wav	4.752	còn bây giờ những đội khách ngày càng mạnh mẽ hơn
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_002808.wav	2.85698	thanh niên nảy sinh tâm lý ỷ lại
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_012040.wav	1.80098	khi nào họ làm xong
F:\archive\mp3V2\FPTOpenSpeechData_Set002_V0.1_010846.wav	2.904	mười năm qua tôi đã đợi đến ngày này
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_007835.wav	3.24098	tốt tôi có thể biết tên bạn được không
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_002117.wav	3.31298	vâng bạn cũng muốn đọc tạp chí tiếng nhật chứ
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_011305.wav	3.76898	một số trò chơi đòi hỏi các động tác chậm thận trọng hãy từ từ
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_000945.wav	2.13698	đừng bao giờ tự mình đi vào rừng
F:\archive\mp3V2\FPTOpenSpeechData_Set002_V0.1_010322.wav	4.464	ở nhiều khu vực tại ngay thủ đô cả điện và nước đều bị cắt
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_009733.wav	4.03298	gạch lót bị tróc từng mảng kéo dài suốt con đường
F:\archive\mp3V2\FPTOpenSpeechData_Set002_V0.1_011423.wav	3.456	là con gái út my lan được nuông chiều từ nhỏ
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_012417.wav	1.94498	làm ơn bán món đồ cho tôi
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_004521.wav	3.09698	hàng trăm công nhân khóc đứng
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_010441.wav	2.97698	tôi có thể đổi chiếc vòng không
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_000736.wav	3.12098	thời gian từ đầu đến cuối là bao lâu
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_009271.wav	2.83298	mỗi lần anh không đọc được một chữ nào đó
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_012409.wav	3.60098	xe ô tô của tôi hư rồi vui lòng đến và kiểm tra nó
F:\archive\mp3V2\FPTOpenSpeechData_Set002_V0.1_011023.wav	4.224	đồng thời ra lệnh bắt khám xét nơi ở của chinh
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_003372.wav	3.24098	bạn đã học rất nhiều tối hôm qua
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_004068.wav	4.05698	hiện chưa rõ hình phạt nào cho những tài xế vô tình ngáp vặt hoặc lén lút ăn vặt
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_006804.wav	1.51298	bạn đã đặt trước chưa
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_001810.wav	1.99298	một bình ạ
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_009284.wav	2.18498	ối xin lỗi anh phải rẽ phải
F:\archive\mp3V2\FPTOpenSpeechData_Set002_V0.1_008885.wav	2.832	tôi cần tìm một nhân viên hàng không
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_001289.wav	1.72898	tôi xin một tách cà phê
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_009656.wav	1.68098	tôi sẽ thử loại đó trước
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_004815.wav	3.36098	bạn vui lòng ký vào đây nhé
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_011119.wav	1.77698	bữa sáng bắt đầu lúc bảy giờ
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_004569.wav	2.25698	và những khuyết điểm nhỏ của họ
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_005847.wav	3.69698	nó là sự công nhận thành quả lao động nghệ thuật của tôi
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_001823.wav	1.68098	chào anh em tên hạnh
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_013621.wav	1.82498	tôi phải làm điều này không
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_005609.wav	2.78498	vâng tôi đang tìm một đôi giày chơi bóng rổ
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_005180.wav	3.93698	chị liền kéo áo người này rồi hô hoán
