audio_filepath	duration	text
/kaggle/input/vlsp2020/vlsp2020_train_set_02/speaker/584/speaker_584-029798-1.wav	3.44	chỉ có tập nói trẻ khiếm thính mới hòa nhập được
/kaggle/input/vlsp2020/vlsp2020_train_set_02/speaker/584/speaker_584-107622-1.wav	4.038	người mẫu em si thúy hạnh và diễn viên mai thu huyền
/kaggle/input/vlsp2020/vlsp2020_train_set_02/speaker/584/speaker_584-018278-1.wav	5.35	hai mươi bảy bị cáo nguyên là thuộc cấp và cán bộ ngân hàng bị ngồi tù
/kaggle/input/vlsp2020/vlsp2020_train_set_02/speaker/584/speaker_584-285722-1.wav	3.61	kịch bản đến thế đã là tột cùng rồi chứ gì
/kaggle/input/vlsp2020/vlsp2020_train_set_02/speaker/584/speaker_584-340250-1.wav	5.2	sau nhiều ngày suy nghĩ tôi quyết định nói hết sự tình với chồng và chị ruột
/kaggle/input/vlsp2020/vlsp2020_train_set_02/speaker/584/speaker_584-095078-1.wav	3.48	đó không phải là lời mời chính thức từ ban tổ chức
/kaggle/input/vlsp2020/vlsp2020_train_set_02/speaker/584/speaker_584-401434-1.wav	3.25	bây giờ vấn đề là bàn thu hay không thu
/kaggle/input/vlsp2020/vlsp2020_train_set_02/speaker/584/speaker_584-027750-1.wav	5.03	bởi lẽ nguồn nguyên liệu để sản xuất collagen vẫn chủ yếu là nhập khẩu
/kaggle/input/vlsp2020/vlsp2020_train_set_02/speaker/584/speaker_584-084582-1.wav	4.93	đó là một phim vui vẻ thôi chẳng đòi hỏi gì ghê gớm ở diễn viên
/kaggle/input/vlsp2020/vlsp2020_train_set_02/speaker/584/speaker_584-037222-1.wav	3.01	khi công khai nợ nần và kêu gọi sự giúp đỡ
/kaggle/input/vlsp2020/vlsp2020_train_set_02/speaker/584/speaker_584-207898-1.wav	4.9555	thời gian này ông bê sống như vợ chồng ở bên ngoài với người phụ nữ khác
/kaggle/input/vlsp2020/vlsp2020_train_set_02/speaker/584/speaker_584-112486-1.wav	4.428	ở trong trại nhớ có muốn nói chuyện cũng không nói được
/kaggle/input/vlsp2020/vlsp2020_train_set_02/speaker/584/speaker_584-040294-1.wav	5.42	công bố một trăm năm mươi mốt ủy viên ban chấp hành đại học đoàn khóa x
/kaggle/input/vlsp2020/vlsp2020_train_set_02/speaker/584/speaker_584-081254-1.wav	4.73	giới trẻ dậy sóng đổi avatar hình cờ tổ quốc hướng về biển đông
/kaggle/input/vlsp2020/vlsp2020_train_set_02/speaker/584/speaker_584-277018-1.wav	5.29	trước đây muốn đọc báo tiếng việt minh hồng phải chờ đến dịp về nước thăm nhà
/kaggle/input/vlsp2020/vlsp2020_train_set_02/speaker/584/speaker_584-047974-1.wav	4.2773125	tiêu chí ba tốt gồm học tập tốt rèn luyện tốt và thể lực tốt
/kaggle/input/vlsp2020/vlsp2020_train_set_02/speaker/584/speaker_584-108134-1.wav	3.07	máy tạo cầu vồng sẽ giải quyết vấn đề này
/kaggle/input/vlsp2020/vlsp2020_train_set_02/speaker/584/speaker_584-026726-1.wav	4.74	bộ trưởng thăng nhiều địa phương kết hợp làm đường và phơi lúa
/kaggle/input/vlsp2020/vlsp2020_train_set_02/speaker/584/speaker_584-111718-1.wav	5.74	khách hàng sẽ phải đóng tiền theo định kỳ ba tháng trên lần mỗi lần hai mươi nghìn đô la
/kaggle/input/vlsp2020/vlsp2020_train_set_02/speaker/584/speaker_584-093286-1.wav	4.6	trên diễn đàn tiếng nói học trò biết bao lời than thở vì bị ép học
/kaggle/input/vlsp2020/vlsp2020_train_set_02/speaker/584/speaker_584-210714-1.wav	3.25	còn bà phan thị kim nga chỉ bị nhắc nhở
/kaggle/input/vlsp2020/vlsp2020_train_set_02/speaker/584/speaker_584-030822-1.wav	4.32	đó là những băn khoăn chính đáng và cần có lời giải đáp thỏa đáng
/kaggle/input/vlsp2020/vlsp2020_train_set_02/speaker/584/speaker_584-340762-1.wav	4.0866875	hai bên cũng đã làm việc vài lần nhưng chưa chốt xong công nợ
/kaggle/input/vlsp2020/vlsp2020_train_set_02/speaker/584/speaker_584-349978-1.wav	4.26	người úc chuộng cua ghẹ việt nam do giá rẻ
/kaggle/input/vlsp2020/vlsp2020_train_set_02/speaker/584/speaker_584-078182-1.wav	3.21	vừa bước chân tới hà nội đã bị mất điện thoại
/kaggle/input/vlsp2020/vlsp2020_train_set_02/speaker/584/speaker_584-413722-1.wav	4.61	và táo tui cũng chưa tìm ra câu trả lời để tấu lên ngọc hoàng
/kaggle/input/vlsp2020/vlsp2020_train_set_02/speaker/584/speaker_584-042086-1.wav	4.148	trung quốc tham vọng xây kỳ quan thứ tám thế giới hóa ác mộng
/kaggle/input/vlsp2020/vlsp2020_train_set_02/speaker/584/speaker_584-109414-1.wav	5.67	theo lộ trình đến năm hai nghìn không trăm hai mươi hai thực hiện giá bán điện lẻ cạnh tranh
/kaggle/input/vlsp2020/vlsp2020_train_set_02/speaker/584/speaker_584-213530-1.wav	4.21	con tôi mới ra trường làm kỹ sư hóa chất được ba tháng
/kaggle/input/vlsp2020/vlsp2020_train_set_02/speaker/561/speaker_561-048983-1.wav	3.4986875	nhưng khi nhận được lời mời của chú khải hưng tôi đã suy nghĩ lại
/kaggle/input/vlsp2020/vlsp2020_train_set_02/speaker/561/speaker_561-104023-1.wav	4.32	tuy nhiên thí sinh đã chọn phần nào thì phải làm hết phần đó
