audio_filepath	duration	text
F:\vlsp2020_train_set_02\database\database_sa3_Jan21_Apr24_cleaned_utt_0000058736-1.wav	6.23	trong đó ngành công nghiệp chế biến chế tạo tăng mười hai phẩy ba phần trăm cấp nước và thu gom rác thải tăng hai phẩy ba mươi bảy phần trăm
F:\vlsp2020_train_set_02\database\database_sa4_2019-01-08_2020-03-16_cleaned_utt_0000062208-1.wav	7.13	mỗi năm dây chuyền này có thể sản xuất được ba mươi lăm nghìn liều tinh bò ba bê chất lượng cao phân phối cho các tỉnh thành trên cả nước
F:\vlsp2020_train_set_02\database\database_sa2_Jan4_Feb29_cleaned_utt_0000062026-1.wav	7.21	một nhà nghiên cứu ở trong nước cho rằng việt nam và phi líp bin nên hợp tác ngăn chặn việc trung quốc phá hủy hệ sinh thái ở biển đông
F:\vlsp2020_train_set_02\database\database_sa4_2019-01-08_2020-03-16_cleaned_utt_0000042829-1.wav	6.84	khu vực nông lâm nghiệp và thủy sản chín tháng đạt mức tăng trưởng thấp giá xuất khẩu bình quân của nhiều nông sản giảm so với cùng kỳ năm trước
F:\vlsp2020_train_set_02\database\database_sa4_2019-01-08_2020-03-16_cleaned_utt_0000076804-1.wav	7.58	chủ tịch ủy ban nhân dân tỉnh cùng các thành viên trong đoàn trực tiếp đến hiện trường để kiểm tra thực địa trao đổi với chủ đầu tư về phương án trong thời gian tới
F:\vlsp2020_train_set_02\database\database_sa1_Mar20_May04_cleaned_utt_0000049368-1.wav	6.99	dù cái thời gian chín tháng thì đối với chị trường với quang bảo ngồi đây nghe câu chuyện của hai em thì thấy nó nó thời gian nó không dài nhưng mà đúng là nó rất có nhiều 
F:\vlsp2020_train_set_02\database\database_sa3_Jan21_Apr24_cleaned_utt_0000039011-1.wav	7.01	chấp hành tốt quy định về đeo thẻ nữ công nhân viên chức mặc áo dài đầu tuần không uống rượu bia hút thuốc tại công sở trong giờ làm việc
F:\vlsp2020_train_set_02\database\database_sa4_Mar17_toApril11_cleaned_utt_0000011862-1.wav	7.29	anh có thấy cái tin này nó đột ngột không và nếu mà là một người dân thì anh anh muốn biết thêm cái thông tin gì có những câu hỏi nào đầu tiên mà anh đặt ra
F:\vlsp2020_train_set_02\database\database_sa2_Jan4_Feb29_cleaned_utt_0000114070-1.wav	7.67	theo yêu cầu là thanh tra chúng tôi đã phối hợp cung cấp tài liệu và hiện nay đang thực hiện theo quy trình của thanh tra cái này thì tôi khó trả lời
F:\vlsp2020_train_set_02\database\database_sa2_Feb29_Mar06_Mar17_toApril06_cleaned_utt_0000028482-1.wav	7.36	hiếm khi mới có díp goăng lơ hoàn toàn mới khoảng mười năm mới có một lần kể từ khi nó ra mắt lần đầu năm một ngàn chín trăm tám mươi bảy
F:\vlsp2020_train_set_02\database\database_sa2_Feb29_Mar06_Mar17_toApril06_cleaned_utt_0000089990-1.wav	6.41	bây giờ thì chúng tôi chúc bạn thành công ngay từ những câu hỏi đầu tiên có tất cả mười hai câu hỏi mà chúng tôi dành cho bạn trong phần thi khởi động như sau ạ
F:\vlsp2020_train_set_02\database\database_sa4_Mar17_toApril11_cleaned_utt_0000059405-1.wav	7.58	và đặc biệt trong chương trình bữa trưa vui vẻ thì khách mời luôn luôn là người truyền tải những thông điệp về sự tài năng sáng tạo ờ và nhiệt huyết
F:\vlsp2020_train_set_02\database\database_sa1_Mar20_May04_cleaned_utt_0000000482-1.wav	7.84	mọi người phải biết hào là một người rất là có cái tinh thần trách nhiệm anh em hiểu không nên bây giờ lỡ bị úp sọt rồi nên là thôi
F:\vlsp2020_train_set_02\database\database_sa3_Jan21_Apr24_cleaned_utt_0000035355-1.wav	6.77	hoạt động giám sát phản biện xã hội góp ý xây dựng đảng xây dựng chính quyền từng bước có sự đổi mới về nội dung và phương thức thực hiện
F:\vlsp2020_train_set_02\database\database_sa2_Jan4_Feb29_cleaned_utt_0000139666-1.wav	7.79	thưa quý vị và các bạn đã thành thông lệ cứ vào thứ bảy cuối cùng của tháng ba hằng năm một sự kiện diễn ra trên toàn thế giới đó là chiến dịch giờ trái đất
F:\vlsp2020_train_set_02\database\database_sa2_Jan4_Feb29_cleaned_utt_0000108804-1.wav	7.62	cũng tại hội nghị thủ tướng nguyễn xuân phúc cho biết không thể đổ lỗi cho nguyên nhân khách quan là cứ liên tục giải ngân vốn đầu tư công chậm được trong thời gian
F:\vlsp2020_train_set_02\database\database_sa3_Jan21_Apr24_cleaned_utt_0000121044-1.wav	7.45	trong ba năm qua quỹ hỗ trợ nông dân tỉnh đã cho vay mười sáu phẩy tám tỉ đồng xây dựng sáu mươi bảy mô hình phát triển sản xuất với sáu trăm linh tư hộ 
F:\vlsp2020_train_set_02\database\database_sa2_Jan4_Feb29_cleaned_utt_0000008936-1.wav	7.16	thì mình thấy rằng là đây cũng là một cơ hội để cho bạn bè năm châu biết đến ờ về một kì quan của thế giới đó chính là vịnh hạ long
F:\vlsp2020_train_set_02\database\database_sa3_Jan21_Apr24_cleaned_utt_0000132144-1.wav	6.07	ngành giáo dục và đào tạo huyện phú vang đã có sự chuẩn bị chu đáo các điều kiện để bước vào năm học mới hai không mười chín hai không hai mươi
F:\vlsp2020_train_set_02\database\database_sa2_Jan4_Feb29_cleaned_utt_0000078792-1.wav	7.35	trong khi người chỉ thể hiện quyền tự do ngôn luận để bày tỏ chính kiến như bờ lốc gơ điếu cày lại bị kết án mười hai năm về tội tuyên truyền chống nhà nước
F:\vlsp2020_train_set_02\database\database_sa4_2019-01-08_2020-03-16_cleaned_utt_0000009383-1.wav	7.59	đây là giọt nước tràn ly sau thất bại tại a ép ép cúp hai nghìn không trăm mười tám và liên đoàn bóng đá thái lan quyết định sa thải ông thầy người xéc bi
F:\vlsp2020_train_set_02\database\database_sa2_Feb29_Mar06_Mar17_toApril06_cleaned_utt_0000074574-1.wav	7.81	thu hằng cô ca sĩ quê xứ nghệ đã viết nên thành công bước đầu trên chặng đường nghệ thuật của mình bằng chính nghị lực sự phấn đấu tự thân không ngơi nghỉ
F:\vlsp2020_train_set_02\database\database_sa2_Feb29_Mar06_Mar17_toApril06_cleaned_utt_0000140441-1.wav	7.82	ngân hàng ây đi bi dự đoán các nước đang phát triển ở châu á trong đó có việt nam tiếp tục là lực đẩy cho sự phát triển kinh tế toàn cầu trong năm nay
F:\vlsp2020_train_set_02\database\database_sa4_2019-01-08_2020-03-16_cleaned_utt_0000053441-1.wav	6.32	và nó nó tạo cho mình cảm giác rất là thoải mái và nó cái phong cách nó rất là tây thế thì mình sẽ thu nguồn lợi từ đâu hả em
F:\vlsp2020_train_set_02\database\database_sa4_Mar17_toApril11_cleaned_utt_0000054176-1.wav	5.94	những điểm mười đầu tiên trong chương trình ngày hôm nay đang chờ đón các thí sinh của chúng ta trong phần thi đầu tiên của chương trình đó là phần thi khởi động
F:\vlsp2020_train_set_02\database\database_sa3_Jan21_Apr24_cleaned_utt_0000006793-1.wav	7.5	doanh thu từ hoạt động mua bán sản phẩm nghề đạt chín phẩy tám tỉ đồng tăng năm phẩy ba tỉ đồng so với phét ti van nghề hai nghìn không trăm mười bảy
F:\vlsp2020_train_set_02\database\database_sa2_Jan4_Feb29_cleaned_utt_0000057603-1.wav	6.71	theo báo cáo mới của nhà nghiên cứu nam phi dô ri ừn re đơ mi ờ trong số ba mươi mốt nhà ngoại giao bị bắt vì buôn lậu ngà voi và sừng tê giác
F:\vlsp2020_train_set_02\database\database_sa3_Jan21_Apr24_cleaned_utt_0000005607-1.wav	5.92	trong năm học này huyện phong điền đẩy mạnh nâng cao giáo dục toàn diện và chất lượng mũi nhọn để đạt thành tích cao hơn nữa trong dạy và học
F:\vlsp2020_train_set_02\database\database_sa4_2019-01-08_2020-03-16_cleaned_utt_0000018575-1.wav	7.35	trong khi đó thành phố hồ chí minh vẫn khá nóng vào trưa và chiều nay nhiệt độ cao nhất là ba mươi tư độ vì chiều tối có thể xuất hiện mưa rào
F:\vlsp2020_train_set_02\database\database_sa2_Feb29_Mar06_Mar17_toApril06_cleaned_utt_0000001780-1.wav	7.5	theo đó tất cả mọi người có thể bắt đầu bị ảnh hưởng sức khỏe và các thành viên của các nhóm nhạy cảm có thể bị ảnh hưởng sức khỏe nghiêm trọng hơn
F:\vlsp2020_train_set_02\database\database_sa4_2019-01-08_2020-03-16_cleaned_utt_0000031582-1.wav	6.71	dục đào tạo khoa học công nghệ của cả nước và khu vực là hết sức cần thiết đây cũng là sự mong mỏi của đảng bộ chính quyền và nhân dân tỉnh
F:\vlsp2020_train_set_02\database\database_sa3_Jan21_Apr24_cleaned_utt_0000030234-1.wav	6.95	là sự kiện kinh tế và văn hóa lớn nhằm tôn vinh những giá trị tinh hoa của di sản nâng cao hơn nữa hiệu quả sản xuất kinh doanh các
F:\vlsp2020_train_set_02\database\database_sa3_1_150h_15Jan2020_cleaned_utt_0000046886-1.wav	7.18	sau khi mình đặt chân đến bu tan thì quyên mới cảm nhận được rằng là tại sao đứa nước này gọi là đứa hạnh phúc khi mà đến bu tan thì quyên cũng ở một
F:\vlsp2020_train_set_02\database\database_sa2_Feb29_Mar06_Mar17_toApril06_cleaned_utt_0000115838-1.wav	7.84	tôi hiểu vì sao mà các bạn khán giả lại chọn ti ra mít su cho khả linh rồi đấy bởi vì chiếc bánh có ý nghĩa về tình yêu là một chiếc bánh biểu tượng cho tình yêu
