audio_filepath	duration	text
F:\vlsp2020_train_set_02\speaker\048\speaker_048-074009-1.wav	15.49	một số nhạc sĩ hải ngoại sau này về thực hiện nhiều dĩa nhạc cũng như hòa âm phối khí cho các ca sĩ và tham gia các chương trình văn nghệ trong nước như phạm duy phạm duy cường đức huy trịnh nam sơn huỳnh nhật tân trần viết tân
F:\vlsp2020_train_set_02\speaker\048\speaker_048-016409-1.wav	6.16	những người theo khổng giáo trái lại đưa ra vấn đề đạo đức đối với những khó khăn của nông dân
F:\vlsp2020_train_set_02\speaker\048\speaker_048-076503-1.wav	3.57	xe đi thêm được năm cây số thì tiếp tục thủng
F:\vlsp2020_train_set_02\speaker\048\speaker_048-012503-1.wav	4.7166875	tôi biết hạnh phúc lớn nhất của một người phụ nữ là có một gia đình yên ấm
F:\vlsp2020_train_set_02\speaker\048\speaker_048-113878-1.wav	3.27	liên hoan nghệ thuật đường phố tại thành phố hồ chí minh
F:\vlsp2020_train_set_02\speaker\048\speaker_048-004823-1.wav	5.63	người dân đội mưa xem biểu diễn áo dài duyên dáng trong đêm hội giao thừa trên thành phố đỏ
F:\vlsp2020_train_set_02\speaker\048\speaker_048-021017-1.wav	4.92	ngoài ra tên ông còn được dùng để đặt tên cho nhiều trường học và đường phố tại việt nam
F:\vlsp2020_train_set_02\speaker\048\speaker_048-048598-1.wav	4.438	thứ hai các lớp học thêm thường là không chính thức và không được quản lý
F:\vlsp2020_train_set_02\speaker\048\speaker_048-049622-1.wav	4.52	đại gia gốc việt bị truy tố vì bỏ túi ba phẩy sáu triệu đô la công quỹ
F:\vlsp2020_train_set_02\speaker\048\speaker_048-074521-1.wav	4.4373125	nhưng khi đã có một vài bộ quần áo rồi thì bạn lại đánh giá ngược lại
F:\vlsp2020_train_set_02\speaker\048\speaker_048-016665-1.wav	7.8966875	nhưng bà cũng xây dựng lên một nền tảng chính trị bằng cách cung cấp đủ những nhu cầu công cộng và thăng chức cho những vị quan ủng hộ mình
F:\vlsp2020_train_set_02\speaker\048\speaker_048-066519-1.wav	4.9866875	nguyệt bỏ dở một kì học bây giờ đang đi học trở lại sau khi đã sinh
F:\vlsp2020_train_set_02\speaker\048\speaker_048-064024-1.wav	8.96	trong nhiều thập kỷ trên quan điểm chính trị cộng hòa nhân dân trung hoa từng được biết đến là một thực thể chính trị đồng nghĩa với trung quốc lục địa
F:\vlsp2020_train_set_02\speaker\048\speaker_048-007127-1.wav	3.8073125	ngay câu a đặt câu hỏi tác giả của văn bản là ai
F:\vlsp2020_train_set_02\speaker\048\speaker_048-005145-1.wav	6.4	các thông số cho quá trình định lượng bao gồm điểm nóng chảy điểm sôi và chỉ số khúc xạ
F:\vlsp2020_train_set_02\speaker\048\speaker_048-074967-1.wav	4.4653125	chúng tôi đã gia tăng sự liên lạc giữa các nhiệm sở của chúng tôi
F:\vlsp2020_train_set_02\speaker\048\speaker_048-081879-1.wav	4.0486875	một cô bạn của tôi nói thư ơi em rất ngưỡng mộ chị
F:\vlsp2020_train_set_02\speaker\048\speaker_048-056278-1.wav	3.2893125	thưởng tết bằng tự đóng góp rồi tự phát thưởng
F:\vlsp2020_train_set_02\speaker\048\speaker_048-077527-1.wav	5.028	phải thông qua một người bạn thân thiết của ông ông mới chịu cất lời kể
F:\vlsp2020_train_set_02\speaker\048\speaker_048-113622-1.wav	2.82	đó là những thứ bạn không được học ở trường
F:\vlsp2020_train_set_02\speaker\048\speaker_048-058838-1.wav	3.8466875	ông hà văn thắm bị khởi tố bắt tạm giam bốn tháng
F:\vlsp2020_train_set_02\speaker\048\speaker_048-001305-1.wav	3.71	những con chó ngoại nhập thường rất dễ thương và rất khôn
F:\vlsp2020_train_set_02\speaker\048\speaker_048-060374-1.wav	3.95	chuyện kỳ lạ đang xảy ra khi thực thi thị trường điện cạnh tranh
