audio_filepath	duration	text
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_000001.wav	1.27298	cách để đi
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_000002.wav	3.79298	họ đã xét nghiệm máu cho cheng nhưng mọi thứ vẫn hoàn toàn bình thường
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_000003.wav	2.52098	anh có thể gọi tôi không
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_000004.wav	3.43298	có rất nhiều yếu tố may rủi ở đây
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_000005.wav	3.93698	ai là chúa nói dối
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_000006.wav	2.37698	có cửa hàng tiện lợi ở sân bay không
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_000007.wav	1.48898	anh đổi ngoại tệ được không
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_000008.wav	4.17698	cô ấy mua hai mươi trái chôm chôm và ba con cá
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_000009.wav	5.56898	đứa bé có ói òng ọc ra sữa hoặc nước và bé chưa đến mười tuần tuổi hoặc có biểu hiện mất nước không
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_000010.wav	5.83298	tôi có thể viết tên địa chỉ số điện thoại của công ty bảo hiểm của anh được không
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_000011.wav	2.01698	đừng lo tôi vừa mới đến rồi
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_000012.wav	2.11298	mười phút nữa vào giờ rưỡi
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_000013.wav	2.88098	tôi có thể hẹn cho chiều mai không
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_000014.wav	2.47298	anh rửa hình kỹ thuật số ra được không
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_000015.wav	4.22498	tôi cố thu xếp thôi
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_000016.wav	1.89698	tôi không dùng ma túy
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_000017.wav	8.21094	quân đội mỹ muốn chế tạo những máy tự động hoàn toàn vì những chiếc mà họ đang có vẫn cần được điều khiển bởi con người
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_000018.wav	2.23298	tôi quên túi đeo vai trong xe tắc xi
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_000019.wav	6.16898	dư luận đã phản ánh lên cơ quan địa chính của thị trấn nhưng mãi chả thấy hồi âm
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_000020.wav	2.71298	giả danh làm từ thiện lừa tiền người dân
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_000021.wav	3.52898	sắm đồ siêu sang ở hội chợ triệu phú
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_000022.wav	4.17698	nếu làm lộ thiên cơ âm binh sẽ đánh trả thầy
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_000023.wav	3.36098	máy ném bom chiến lược của nga gặp nạn
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_000024.wav	3.05767	anh có thích tôi giữ trước quyển sách này cho anh không
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_000025.wav	6.15894	ở người bị hội chứng khi ăn ngủ phần não phải vẫn thức và sau đó là cả các dạng hoạt động thể chất
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_000026.wav	2.88098	tỉ lệ là mười mm trên một km
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_000028.wav	3.48098	nơi đây hiện khá yên tĩnh
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_000029.wav	4.77698	nhưng cũng có những bạn nằm khèo ở nhà trùm mềm và khóc nhè
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_000030.wav	2.61698	chúng ta không thể mua cái nào ở nhật bản
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_000031.wav	3.31298	cho vừa với số kinh phí hạn hẹp của một bộ phim
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_000032.wav	3.84098	kịch sến nhiều tập làm tôi oải quá tôi sẽ tắt tv
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_000033.wav	7.36898	chính vì thế những người phải sống một thời gian dài trong không gian có thể gặp rủi ro
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_000034.wav	11.233	thực ra thà không đến nỗi mơ mộng đến mê muội để chẳng hiểu tấm lòng của những người thân thông qua lời khuyên nhủ
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_000035.wav	2.78498	bán đấu giá mỹ nữ
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_000037.wav	6.40898	hôm thứ năm ủy ban bầu cử thái lan cho rằng đảng của người thái yêu người thái đã phạm hai luật trong chiến dịch tranh cử vừa qua
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_000038.wav	2.71298	không thể xem lần vấp ngã ấy là tai
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_000039.wav	1.70498	cướp bóc trong khi hỏa hoạn
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_000040.wav	4.77698	một dân tộc từng không có người từ á sang âu
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_000041.wav	2.88098	tết đầu tiên xa việt nam của cháu quả là ý nghĩa
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_000042.wav	3.19298	trong làng ai cũng quý mến gia đình anh phú
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_000044.wav	2.04098	anh đã làm rất tệ
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_000045.wav	4.54306	cô ta nghi ngờ lúc mình say rượu đã bị toán cưỡng bức
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_000046.wav	1.60898	ông muốn nhãn hiệu bia nào
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_000048.wav	1.77698	bật điều hòa nhiệt độ
F:\archive\mp3V2\FPTOpenSpeechData_Set001_V0.1_000049.wav	2.61698	nhiều chàng trai để ý và theo dõi bạn
