audio_filepath	duration	text
/mnt/f/vlsp2020_train_set_02/database/database_sa2_Jan4_Feb29_cleaned_utt_0000147984-1.wav	1.3	dạ vâng bây giờ mình xin 
/mnt/f/vlsp2020_train_set_02/database/database_sa3_Jan21_Apr24_cleaned_utt_0000041276-1.wav	6.38	theo chỉ đạo của bộ y tế ủy ban nhân dân tỉnh và sở y tế từng bước không ngừng cải thiện và nâng cao chất lượng khám chữa bệnh
/mnt/f/vlsp2020_train_set_02/database/database_sa3_1_150h_15Jan2020_cleaned_utt_0000054739-1.wav	5.9	hôm nay không có ai thuê đi làm nên anh thái đành ở nhà phụ giúp vợ đốn củi bán kiếm tiền
/mnt/f/vlsp2020_train_set_02/database/database_sa3_Jan21_Apr24_cleaned_utt_0000017709-1.wav	5.78	phải cải thiện những kỹ năng của mình để tự tin hơn trước công chúng ống kính ờ không biết có bạn nào muốn thử lần học viên
/mnt/f/vlsp2020_train_set_02/database/database_sa2_Feb29_Mar06_Mar17_toApril06_cleaned_utt_0000164033-2.wav	1.86	 cái cơn em còn nóng hơn đúng hông
/mnt/f/vlsp2020_train_set_02/database/database_sa4_Mar17_toApril11_cleaned_utt_0000120004-1.wav	2.6	dà thường được điểm bảy môn văn
/mnt/f/vlsp2020_train_set_02/database/database_sa3_Jan21_Apr24_cleaned_utt_0000049261-1.wav	5.04	và các hoạt động về nguồn tri ân các gia đình chính sách tặng quà cho các em học sinh nghèo
/mnt/f/vlsp2020_train_set_02/database/database_sa4_Mar17_toApril11_cleaned_utt_0000008066-1.wav	2.1	em nói tiếp về cái đam mê của mình đi
/mnt/f/vlsp2020_train_set_02/database/database_sa3_Jan21_Apr24_cleaned_utt_0000014464-1.wav	5.96	lúc trung quốc ồ ạt tiến hành các hoạt động bồi đắp xây đảo nhân tạo để củng cố chủ quyền ở biển đông
/mnt/f/vlsp2020_train_set_02/database/database_sa2_Feb29_Mar06_Mar17_toApril06_cleaned_utt_0000222958-1.wav	6.43	ờm ờm đầu hàng không bao giờ bỏ cái ý nghĩ đó để đấu tranh cho người việt ở tại hải ngoại cũng như tại quê nhà
/mnt/f/vlsp2020_train_set_02/database/database_sa4_Mar17_toApril11_cleaned_utt_0000057712-1.wav	2.81	thầy nghĩ là em nên tìm chỗ bù đắp a
/mnt/f/vlsp2020_train_set_02/database/database_sa4_2019-01-08_2020-03-16_cleaned_utt_0000035673-1.wav	4.8	hôm nay chủ nhật ngày hai mươi bảy tháng một chương trình sẽ có những nội dung đáng chú ý sau đây
/mnt/f/vlsp2020_train_set_02/database/database_sa2_Jan4_Feb29_cleaned_utt_0000014552-1.wav	4.94	năm mươi con cá chép tam đường và hai trăm con cá rô đồng đã được thả và cùng ngày
/mnt/f/vlsp2020_train_set_02/database/database_sa1_Jan08_Mar19_cleaned_utt_0000028233-1.wav	6.3	đây là chuyến thăm chính thức đầu tiên của bà với đối tác thương mại lớn nhất của nước bà kể từ khi liên đoàn quốc
/mnt/f/vlsp2020_train_set_02/database/database_sa1_Jan08_Mar19_cleaned_utt_0000047455-4.wav	5.34	 ây bảo trợ cũng đang giúp mở rộng cơ hội tới các công ty năng lượng sạch và nhà đầu tư mỹ
/mnt/f/vlsp2020_train_set_02/database/database_sa3_Jan21_Apr24_cleaned_utt_0000068718-2.wav	2.72	 đại biểu cũng thẳng thắn rút kinh nghiệm trong các công tác còn hạn chế
/mnt/f/vlsp2020_train_set_02/database/database_sa3_1_150h_15Jan2020_cleaned_utt_0000068259-1.wav	1.54	với dàn nhạc giao hưởng luân đôn
/mnt/f/vlsp2020_train_set_02/database/database_sa4_2019-01-08_2020-03-16_cleaned_utt_0000010747-2.wav	3.88	 đưa mũi chỉ lên đưa mũi chỉ xuống như thế nào để tạo thành hoa văn trên vải
/mnt/f/vlsp2020_train_set_02/database/database_sa4_2019-01-08_2020-03-16_cleaned_utt_0000060193-1.wav	4.21	hơn nữa mặt sân xấu khiến các cầu thủ không phô diễn được khả năng của mình
/mnt/f/vlsp2020_train_set_02/database/database_sa2_Feb29_Mar06_Mar17_toApril06_cleaned_utt_0000130201-1.wav	7.24	thay vì giọng quảng ngãi chất giọng miền trung quen thuộc trước đây điều này khiến cho giọng của người trẻ lý sơn hiện tại lơ nớ rất lạ
/mnt/f/vlsp2020_train_set_02/database/database_sa1_Jan08_Mar19_cleaned_utt_0000071479-2.wav	3.22	 cái cái vấn đề tối thiểu là mình phải có và
/mnt/f/vlsp2020_train_set_02/database/database_sa3_1_150h_15Jan2020_cleaned_utt_0000062545-1.wav	6.05	đáng chú ý giá lợn đen hiện dao động từ một trăm sáu mươi nghìn đồng đến một trăm bảy mươi nghìn đồng một ki lô gam
/mnt/f/vlsp2020_train_set_02/database/database_sa4_Mar17_toApril11_cleaned_utt_0000031680-1.wav	5.06	bạn có vẻ thích những câu chuyện cổ tích thích chú cuội thích bà tiên và
/mnt/f/vlsp2020_train_set_02/database/database_sa2_Jan4_Feb29_cleaned_utt_0000052962-1.wav	4.98	năm một ngàn chín trăm ba mươi bảy đồng chí tham gia tổ chức ái hữu thợ mỏ hòn gai
/mnt/f/vlsp2020_train_set_02/database/database_sa4_2019-01-08_2020-03-16_cleaned_utt_0000010805-1.wav	5.26	xã này đã có một đề án di dân với tổng kinh phí khoảng mười bốn tỉ đồng đã được phê duyệt
/mnt/f/vlsp2020_train_set_02/database/database_sa4_Mar17_toApril11_cleaned_utt_0000021591-1.wav	3.59	tôi nói rồi mà hai đội sẽ được cấp một số tiền giống nhau nhất 
/mnt/f/vlsp2020_train_set_02/database/database_sa2_Feb29_Mar06_Mar17_toApril06_cleaned_utt_0000226666-1.wav	5.79	chúc bạn thành công với sự lựa chọn của mình những câu hỏi mà chúng tôi dành cho bạn như sau
/mnt/f/vlsp2020_train_set_02/database/database_sa2_Feb29_Mar06_Mar17_toApril06_cleaned_utt_0000056895-1.wav	4.5	ngọt không phải là một câu trả lời chính xác vẫn còn thời gian dành cho bạn thái trường
/mnt/f/vlsp2020_train_set_02/database/database_sa1_Jan08_Mar19_cleaned_utt_0000021980-1.wav	7.7	u dờ rao la li đã làm việc ở tỉnh ban dan được mười lăm năm cô đã biến khoản đầu tư hai ngàn năm trăm đô la thành một
/mnt/f/vlsp2020_train_set_02/database/database_sa2_Jan4_Feb29_cleaned_utt_0000100150-1.wav	6.0	giữa lúc gi đi pi tăng năm phẩy bốn mươi hai phần trăm và lạm phát giảm xuống mức thấp nhất tính từ mười năm qua
/mnt/f/vlsp2020_train_set_02/database/database_sa2_Jan4_Feb29_cleaned_utt_0000008421-1.wav	5.91	sau hàng loạt những vụ tai nạn thương tâm do đi xuất khẩu lao động theo những đường dây bất hợp pháp được cảnh báo
/mnt/f/vlsp2020_train_set_02/database/database_sa2_Jan4_Feb29_cleaned_utt_0000153512-1.wav	7.02	bắc kinh không ngừng thách thức chủ quyền của hà nội từ các hoạt động tuần tra gây hấn tấn công tàu xây đảo nhân tạo
/mnt/f/vlsp2020_train_set_02/database/database_sa3_Jan21_Apr24_cleaned_utt_0000106093-2.wav	2.54	 đi như thế ngắm cảnh thì nó nó rất là lâu
/mnt/f/vlsp2020_train_set_02/database/database_sa2_Feb29_Mar06_Mar17_toApril06_cleaned_utt_0000045201-1.wav	1.7	 nay thì quyền linh thấy thế này
/mnt/f/vlsp2020_train_set_02/database/database_sa2_Feb29_Mar06_Mar17_toApril06_cleaned_utt_0000158281-1.wav	1.26	đi được đi được độ 
/mnt/f/vlsp2020_train_set_02/database/database_sa1_Mar20_May04_cleaned_utt_0000036941-1.wav	6.29	 khoan chị hỏi là trong chín tháng mười ngày như dậy thì mình đã bớt sợ cái chuyện sinh con chưa hay cái nổi sợ đó còn nguyên
/mnt/f/vlsp2020_train_set_02/database/database_sa3_Jan21_Apr24_cleaned_utt_0000143036-1.wav	6.91	những loại giấy mời triệu tập và hình thức khảo tra đó hãy dành cho những thằng phản động đang cõng rắn cắn gà nhà
/mnt/f/vlsp2020_train_set_02/database/database_sa3_Jan21_Apr24_cleaned_utt_0000122846-1.wav	7.28	có mười nghìn hạt nhân đấu tranh trên không gian mạng trên mạng xã hội nhiều người nhận xét rằng các chiến sĩ tuyền chuyền đó
/mnt/f/vlsp2020_train_set_02/database/database_sa2_Feb29_Mar06_Mar17_toApril06_cleaned_utt_0000028987-1.wav	2.85	và nếu chúng làm sai thì ai sẽ là người
/mnt/f/vlsp2020_train_set_02/database/database_sa4_2019-01-08_2020-03-16_cleaned_utt_0000011732-1.wav	6.28	theo hội nhà báo việt nam việc tuyên truyền thậm chí nhìn nhận ác cảm và không đúng của một bộ phận truyền thông
/mnt/f/vlsp2020_train_set_02/database/database_sa2_Feb29_Mar06_Mar17_toApril06_cleaned_utt_0000174684-2.wav	3.22	gia đình mới cho nên là mới phải ra hà nội
/mnt/f/vlsp2020_train_set_02/database/database_sa3_Jan21_Apr24_cleaned_utt_0000039778-1.wav	5.56	hãng thông tấn roi tơ cho biết các trang mạng tin tức của hãng tin này tại hoa lục không còn truy cập được
/mnt/f/vlsp2020_train_set_02/database/database_sa2_Feb29_Mar06_Mar17_toApril06_cleaned_utt_0000182106-1.wav	6.77	họ luôn luôn muốn tìm những nhà hàng có những ngôi sao mây chô lim nó tượng trưng cho sự
/mnt/f/vlsp2020_train_set_02/database/database_sa4_Mar17_toApril11_cleaned_utt_0000036302-1.wav	5.58	sẽ có một cái sự phát triển nhân cách chưa có được toàn diện và sẽ khó có thể hòa nhập với cái cuộc sống sau này
/mnt/f/vlsp2020_train_set_02/database/database_sa2_Feb29_Mar06_Mar17_toApril06_cleaned_utt_0000162285-1.wav	4.07	dạ bây giờ cơ bản là hai người một phòng ở dưới là của con bé liên kia 
/mnt/f/vlsp2020_train_set_02/database/database_sa3_Jan21_Apr24_cleaned_utt_0000103151-1.wav	2.82	mong rằng với sự đồng hành của chính quyền và ban ngành chức năng
/mnt/f/vlsp2020_train_set_02/database/database_sa3_1_150h_15Jan2020_cleaned_utt_0000027115-1.wav	3.77	ờ khi bắt đầu vừa chín tới là phải cho là thu hoạch ngay
/mnt/f/vlsp2020_train_set_02/database/database_sa3_Jan21_Apr24_cleaned_utt_0000005133-1.wav	3.39	và công tác chỉ huy phòng chống lụt bão ở địa phương vùng thấp trũng này
/mnt/f/vlsp2020_train_set_02/database/database_sa2_Feb29_Mar06_Mar17_toApril06_cleaned_utt_0000050144-2.wav	1.44	 có một lượng khán giả
