audio_filepath	duration	text
F:\vlsp2020_train_set_02\speaker\048\speaker_048-016409-1.wav	6.16	những người theo khổng giáo trái lại đưa ra vấn đề đạo đức đối với những khó khăn của nông dân
F:\vlsp2020_train_set_02\speaker\048\speaker_048-076503-1.wav	3.57	xe đi thêm được năm cây số thì tiếp tục thủng
F:\vlsp2020_train_set_02\speaker\048\speaker_048-012503-1.wav	4.7166875	tôi biết hạnh phúc lớn nhất của một người phụ nữ là có một gia đình yên ấm
F:\vlsp2020_train_set_02\speaker\048\speaker_048-113878-1.wav	3.27	liên hoan nghệ thuật đường phố tại thành phố hồ chí minh
F:\vlsp2020_train_set_02\speaker\048\speaker_048-004823-1.wav	5.63	người dân đội mưa xem biểu diễn áo dài duyên dáng trong đêm hội giao thừa trên thành phố đỏ
F:\vlsp2020_train_set_02\speaker\048\speaker_048-021017-1.wav	4.92	ngoài ra tên ông còn được dùng để đặt tên cho nhiều trường học và đường phố tại việt nam
F:\vlsp2020_train_set_02\speaker\048\speaker_048-048598-1.wav	4.438	thứ hai các lớp học thêm thường là không chính thức và không được quản lý
F:\vlsp2020_train_set_02\speaker\048\speaker_048-049622-1.wav	4.52	đại gia gốc việt bị truy tố vì bỏ túi ba phẩy sáu triệu đô la công quỹ
F:\vlsp2020_train_set_02\speaker\048\speaker_048-074521-1.wav	4.4373125	nhưng khi đã có một vài bộ quần áo rồi thì bạn lại đánh giá ngược lại
F:\vlsp2020_train_set_02\speaker\048\speaker_048-016665-1.wav	7.8966875	nhưng bà cũng xây dựng lên một nền tảng chính trị bằng cách cung cấp đủ những nhu cầu công cộng và thăng chức cho những vị quan ủng hộ mình
F:\vlsp2020_train_set_02\speaker\048\speaker_048-066519-1.wav	4.9866875	nguyệt bỏ dở một kì học bây giờ đang đi học trở lại sau khi đã sinh
F:\vlsp2020_train_set_02\speaker\048\speaker_048-007127-1.wav	3.8073125	ngay câu a đặt câu hỏi tác giả của văn bản là ai
F:\vlsp2020_train_set_02\speaker\048\speaker_048-005145-1.wav	6.4	các thông số cho quá trình định lượng bao gồm điểm nóng chảy điểm sôi và chỉ số khúc xạ
F:\vlsp2020_train_set_02\speaker\048\speaker_048-074967-1.wav	4.4653125	chúng tôi đã gia tăng sự liên lạc giữa các nhiệm sở của chúng tôi
F:\vlsp2020_train_set_02\speaker\048\speaker_048-081879-1.wav	4.0486875	một cô bạn của tôi nói thư ơi em rất ngưỡng mộ chị
F:\vlsp2020_train_set_02\speaker\048\speaker_048-056278-1.wav	3.2893125	thưởng tết bằng tự đóng góp rồi tự phát thưởng
F:\vlsp2020_train_set_02\speaker\048\speaker_048-077527-1.wav	5.028	phải thông qua một người bạn thân thiết của ông ông mới chịu cất lời kể
F:\vlsp2020_train_set_02\speaker\048\speaker_048-113622-1.wav	2.82	đó là những thứ bạn không được học ở trường
F:\vlsp2020_train_set_02\speaker\048\speaker_048-058838-1.wav	3.8466875	ông hà văn thắm bị khởi tố bắt tạm giam bốn tháng
F:\vlsp2020_train_set_02\speaker\048\speaker_048-001305-1.wav	3.71	những con chó ngoại nhập thường rất dễ thương và rất khôn
F:\vlsp2020_train_set_02\speaker\048\speaker_048-060374-1.wav	3.95	chuyện kỳ lạ đang xảy ra khi thực thi thị trường điện cạnh tranh
F:\vlsp2020_train_set_02\speaker\048\speaker_048-006681-1.wav	5.296	tuy vậy thậm chí ngay cả cho đến nay nhiều phong trào tôn giáo mới vẫn tiếp tục phát triển
F:\vlsp2020_train_set_02\speaker\619\speaker_619-022911-1.wav	3.328	anh cũng là vận động viên ten nít có tiếng và đoạt nhiều giải thưởng
F:\vlsp2020_train_set_02\speaker\619\speaker_619-108927-1.wav	4.86	dù gia cảnh khó khăn nhưng tổng kết mỗi năm học hai anh em luôn đạt học sinh tiên tiến
F:\vlsp2020_train_set_02\speaker\619\speaker_619-014207-1.wav	3.328	mỗi tháng anh cũng thu được hơn mười triệu đồng tiền thuê nhà
F:\vlsp2020_train_set_02\speaker\619\speaker_619-075647-1.wav	4.458	vì là gia đình thuộc diện nghèo khó nên vay cũng không mất tiền lãi chú hậu thêm vào
F:\vlsp2020_train_set_02\speaker\619\speaker_619-015231-1.wav	3.07	bà đặng thị hoa phó chủ tịch hội khuyến học bến tre
F:\vlsp2020_train_set_02\speaker\619\speaker_619-040575-1.wav	5.07	nhiều chiến sĩ đã hy sinh được thể hiện bằng những chiếc mũ cối đặt rải rác ven đường
F:\vlsp2020_train_set_02\speaker\619\speaker_619-039807-1.wav	3.58	cũng với một đô la để học về ngôn ngữ lập trình trực quan
F:\vlsp2020_train_set_02\speaker\619\speaker_619-044671-1.wav	4.096	mai ly cũng hứa hẹn trình làng một sản phẩm âm nhạc mới trong năm nay
F:\vlsp2020_train_set_02\speaker\619\speaker_619-009599-1.wav	3.4986875	chỉ còn vé suất lúc mười giờ đêm giờ chờ tới đó đến bao giờ
F:\vlsp2020_train_set_02\speaker\619\speaker_619-081279-1.wav	2.816	hàng loạt công ty chứng khoán và quản lý quỹ rời thị trường
F:\vlsp2020_train_set_02\speaker\619\speaker_619-036735-1.wav	4.49	mặt tích cực ở đây là giúp cho sự tìm hiểu được kỹ càng sâu sát hơn
F:\vlsp2020_train_set_02\speaker\619\speaker_619-024703-1.wav	3.75	người đẹp ăn kiêng và tập thể dục điên cuồng để giữ dáng
F:\vlsp2020_train_set_02\speaker\619\speaker_619-023935-1.wav	5.03	giá thuê văn phòng ở hà nội và thành phố hồ chí minh rớt hạng nhưng vẫn cao chót vót
F:\vlsp2020_train_set_02\speaker\925\speaker_925_114320-1.wav	3.2275625	xu hướng này được diễn ra tại hà nội lần này
F:\vlsp2020_train_set_02\speaker\644\speaker_644-018320-1.wav	5.376	có vẻ như chiếc tủ lạnh đặc biệt này là một thiết bị hoàn hảo cho những căn hộ nhỏ
F:\vlsp2020_train_set_02\speaker\644\speaker_644-084880-1.wav	3.75	xem đồ rê mí chuẩn bị cho sâu diễn tranh tài
F:\vlsp2020_train_set_02\speaker\644\speaker_644-003984-1.wav	3.71	còn với người dân họ sẽ chờ đợi để mua
F:\vlsp2020_train_set_02\speaker\644\speaker_644-070800-1.wav	3.328	không có hiểu biết về bản chất tiền gửi tiết kiệm
F:\vlsp2020_train_set_02\speaker\644\speaker_644-067984-1.wav	5.7173125	đến nay thị trường bảo hiểm nông nghiệp là chuyện đã xa của bảo minh và bảo việt
F:\vlsp2020_train_set_02\speaker\644\speaker_644-074128-1.wav	5.6973125	chính điều này đã tạo ra sự rủi ro thanh khoản cao đối với ngân hàng thương mại
F:\vlsp2020_train_set_02\speaker\644\speaker_644-052623-1.wav	6.2293125	khổ nhất là nhiều vị cha mẹ không hợp tác với nhà trường con cái học thế nào cũng mặc
F:\vlsp2020_train_set_02\speaker\644\speaker_644-049551-1.wav	6.48	tương tự địa phương tính toán không được đầy đủ chu đáo tạo ra thất thoát mất mát
F:\vlsp2020_train_set_02\speaker\659\speaker_659-075418-1.wav	4.15	người ta nghĩ hoa hậu rất sung sướng và giàu có
F:\vlsp2020_train_set_02\speaker\659\speaker_659-071578-1.wav	5.37	theo đó thiết kế bên ngoài của xe khác hẳn thế hệ hiện tại
F:\vlsp2020_train_set_02\speaker\659\speaker_659-072858-1.wav	6.07	mọi thông số kỹ thuật của du thuyền đều được bảo mật chặt chẽ trong quá trình sản xuất
F:\vlsp2020_train_set_02\speaker\659\speaker_659-025498-1.wav	4.28825	ngoài ra các em cũng có gu âm nhạc và cá tính
F:\vlsp2020_train_set_02\speaker\659\speaker_659-022170-1.wav	5.1099375	trường được xây dựng theo mô hình tương đương các đại học danh tiếng của mỹ
F:\vlsp2020_train_set_02\speaker\659\speaker_659-090778-1.wav	5.12	điều này có lẽ đúng bởi rất khó có thể giải thích được việc p
F:\vlsp2020_train_set_02\speaker\659\speaker_659-069274-1.wav	5.1	tác phẩm lá cờ thêu sáu chữ vàng của nhà xuất bản kim đồng
F:\vlsp2020_train_set_02\speaker\659\speaker_659-091546-1.wav	4.01825	tôi cố gắng ở bên cạnh anh bất kể lúc nào có thể
F:\vlsp2020_train_set_02\speaker\659\speaker_659-085402-1.wav	5.2399375	long trọng lễ kỉ niệm sáu mươi năm trường học sinh miền nam trên đất bắc
F:\vlsp2020_train_set_02\speaker\659\speaker_659-084634-1.wav	5.13	mới được một tuổi bố mẹ ly dị hương về sống với ông bà
F:\vlsp2020_train_set_02\speaker\659\speaker_659-032922-1.wav	5.6356875	phân tích yếu tố chu kỳ của tăng trưởng cũng cho thấy sự phục hồi mạnh mẽ
F:\vlsp2020_train_set_02\speaker\659\speaker_659-006298-1.wav	6.38	đám cưới của họ được tổ chức đúng mười sáu năm sau kể từ ngày hai người quen biết
F:\vlsp2020_train_set_02\speaker\659\speaker_659-016282-1.wav	3.92	tuổi thơ dữ dội của cô thủ khoa xứ thanh
F:\vlsp2020_train_set_02\speaker\659\speaker_659-077466-1.wav	5.13	trong khi đó phi líp pin được xem là có tình hình tài chính lành mạnh
F:\vlsp2020_train_set_02\speaker\659\speaker_659-036506-1.wav	3.34	giọng hát như phải thế chứ không thể nào khác
F:\vlsp2020_train_set_02\speaker\659\speaker_659-022682-1.wav	6.1	đọc báo xem tv tôi thấy có nhiều người tám mươi tuổi mới bắt đầu đi học
F:\vlsp2020_train_set_02\speaker\659\speaker_659-074650-1.wav	6.1586875	tuy nhiên trong phiên giao dịch đầu tuần tất cả các sàn này đều tạm ngưng để nghe ngóng
F:\vlsp2020_train_set_02\speaker\659\speaker_659-070298-1.wav	4.54	những điểm nhấn không thể quên của thị trường bất động sản
F:\vlsp2020_train_set_02\speaker\659\speaker_659-078234-1.wav	6.07	năm cuối đại học thời gian học mười hai tháng học phí s mười lăm nghìn
F:\vlsp2020_train_set_02\speaker\659\speaker_659-068506-1.wav	4.86	thí sinh cụm vinh có mặt làm thủ tục đợt thi lần hai
F:\vlsp2020_train_set_02\speaker\659\speaker_659-076954-1.wav	4.566875	thời gian đặt hàng thử số lượng nhỏ kéo dài rất lâu
F:\vlsp2020_train_set_02\speaker\659\speaker_659-094874-1.wav	6.848875	năm nay bút tàng hình cũng nằm trong danh sách những vật dụng không được phép mang vào phòng thi
F:\vlsp2020_train_set_02\speaker\659\speaker_659-027290-1.wav	5.83	những kết quả trong học tập như một món quà bình muốn dành tặng đến cô và mẹ
F:\vlsp2020_train_set_02\speaker\457\speaker_457-046356-1.wav	5.07	đại học ngoại ngữ đà nẵng khen thưởng tân sinh viên có điểm đầu vào cao
F:\vlsp2020_train_set_02\speaker\457\speaker_457-116500-1.wav	3.24	chai nước ngọt chứ vật thể lạ của anh định
F:\vlsp2020_train_set_02\speaker\457\speaker_457-099860-1.wav	4.7	gương mặt điềm nhiên của người đàn bà bốn nghìn tỷ trước tòa
F:\vlsp2020_train_set_02\speaker\457\speaker_457-097812-1.wav	5.9493125	thanh niên thuộc bộ chỉ huy quân sự tỉnh bình định tư vấn cho thí sinh và người nhà
F:\vlsp2020_train_set_02\speaker\457\speaker_457-028436-1.wav	5.25	nguy cơ khủng hoảng lòng tin của doanh nghiệp và người dân đang hiện hữu
F:\vlsp2020_train_set_02\speaker\457\speaker_457-051220-1.wav	4.608	phải học để trở thành một bộ phận khăng khít của đời sống
F:\vlsp2020_train_set_02\speaker\457\speaker_457-104212-1.wav	5.39	tại thành phố hồ chí minh số trường di dời cũng sẽ khoảng bốn mươi trường
F:\vlsp2020_train_set_02\speaker\457\speaker_457-031508-1.wav	4.9653125	chúng tôi sẽ không bình luận hoặc xác nhận bất kỳ thông tin nào thêm
F:\vlsp2020_train_set_02\speaker\457\speaker_457-104724-1.wav	4.7793125	hàng ngày nhìn cam chín rụng mà như đứt từng khúc ruột
F:\vlsp2020_train_set_02\speaker\457\speaker_457-043540-1.wav	4.1973125	hát tặng người ấy với những lời ca ngọt ngào nhất
F:\vlsp2020_train_set_02\speaker\457\speaker_457-058388-1.wav	4.78	thậm chí một số loại hàng hóa còn ăn theo mưa bão để đẩy giá
F:\vlsp2020_train_set_02\speaker\457\speaker_457-089620-1.wav	5.02	họ chỉ biết chấp nhận rủi ro khi có biến động về tỷ giá
F:\vlsp2020_train_set_02\speaker\457\speaker_457-092948-1.wav	4.29	còn nếu em là anh thì sẽ thế nào nhỉ
