audio_filepath	duration	text
/kaggle/input/vlsp2020/vlsp2020_train_set_02/database/database_sa2_Jan4_Feb29_cleaned_utt_0000138920-1.wav	5.97	do hệ thống trường lớp học trên địa bàn tỉnh còn tồn tại nhiều điểm bất hợp lý dẫn đến tình trạng thừa giáo viên
/kaggle/input/vlsp2020/vlsp2020_train_set_02/database/database_sa4_Mar17_toApril11_cleaned_utt_0000084696-1.wav	4.07	cái này là có tới tám đến chín mươi phần trăm là em đã xác định lan khuê rồi
/kaggle/input/vlsp2020/vlsp2020_train_set_02/database/database_sa4_2019-01-08_2020-03-16_cleaned_utt_0000060162-1.wav	2.24	dưới sự lèo lái của một nhà cầm quân vẫn còn
/kaggle/input/vlsp2020/vlsp2020_train_set_02/database/database_sa3_Jan21_Apr24_cleaned_utt_0000112969-1.wav	6.79	và có khả năng xuất hiện hai đến ba đợt lũ từ bạo động một đến báo đồng hai mực nước sông hương và sông bồ xấp xỉ cùng kỳ năm
/kaggle/input/vlsp2020/vlsp2020_train_set_02/database/database_sa4_2019-01-08_2020-03-16_cleaned_utt_0000087902-1.wav	5.35	vào lúc chín giờ bốn mươi phút ngày mùng tám tháng sáu tại kiệt hai mươi tám đường phạm thị liên thành phố huế
/kaggle/input/vlsp2020/vlsp2020_train_set_02/database/database_sa1_Mar20_May04_cleaned_utt_0000000544-1.wav	2.72	dạ con cám ơn ba má
/kaggle/input/vlsp2020/vlsp2020_train_set_02/database/database_sa3_Jan21_Apr24_cleaned_utt_0000081158-1.wav	4.27	và ngăn chặn hành vi kinh doanh nguy hiểm dựa trên sinh mạng của con người
/kaggle/input/vlsp2020/vlsp2020_train_set_02/database/database_sa2_Feb29_Mar06_Mar17_toApril06_cleaned_utt_0000098975-1.wav	5.86	giáo viên chủ nhiệm lớp mười hai a bốn trường trung học phổ thông chương mỹ hà nội và thầy lê quang bình
/kaggle/input/vlsp2020/vlsp2020_train_set_02/database/database_sa4_2019-01-08_2020-03-16_cleaned_utt_0000008131-1.wav	2.15	nên việc nhiễm khuẩn có thể gây nên các bệnh khác
/kaggle/input/vlsp2020/vlsp2020_train_set_02/database/database_sa2_Jan4_Feb29_cleaned_utt_0000130373-1.wav	3.73	tại sao năm vừa rồi chứng khoán lại đì đẹt như vậy
/kaggle/input/vlsp2020/vlsp2020_train_set_02/database/database_sa4_2019-01-08_2020-03-16_cleaned_utt_0000056420-1.wav	4.23	trước ga đồng đăng với trang phục truyền thống tay cầm cờ việt triều
/kaggle/input/vlsp2020/vlsp2020_train_set_02/database/database_sa3_Jan21_Apr24_cleaned_utt_0000116518-1.wav	5.19	việc chủ động giữ gìn vệ sinh cá nhân vệ sinh môi trường góp phần đảm bảo nâng cao chất lượng cuộc sống
/kaggle/input/vlsp2020/vlsp2020_train_set_02/database/database_sa2_Feb29_Mar06_Mar17_toApril06_cleaned_utt_0000171377-1.wav	4.26	ơ kìa oan cho em quá làm sao em dám làm như thế anh thử đọc kỹ mà xem
/kaggle/input/vlsp2020/vlsp2020_train_set_02/database/database_sa2_Feb29_Mar06_Mar17_toApril06_cleaned_utt_0000050358-1.wav	3.01	đầu tư biết bao nhiêu thứ thế
/kaggle/input/vlsp2020/vlsp2020_train_set_02/database/database_sa2_Feb29_Mar06_Mar17_toApril06_cleaned_utt_0000022907-1.wav	7.9	hân hạnh chào đón quý vị đến với đài tiếng nói hoa kỳ vi ô ây nơi mang đến quý vị nguồn thông tin trung thực đa chiều về tình hình việt nam và thế giới
/kaggle/input/vlsp2020/vlsp2020_train_set_02/database/database_sa2_Jan4_Feb29_cleaned_utt_0000077958-1.wav	4.44	bước hai từng cặp sẽ chơi oẳn tù tì đối kháng người thắng sẽ chụp cái chảo
/kaggle/input/vlsp2020/vlsp2020_train_set_02/database/database_sa2_Feb29_Mar06_Mar17_toApril06_cleaned_utt_0000224175-1.wav	4.17	và bây giờ lúc mà hai cặp đôi của chúng ta sẽ thể hiện tài năng của mình xin mời cặp đôi của chiến sĩ mạnh hùng
/kaggle/input/vlsp2020/vlsp2020_train_set_02/database/database_sa2_Jan4_Feb29_cleaned_utt_0000073221-1.wav	2.43	tức là phải đợi đúng cái ngày sinh nhật mà mình tròn hai mươi mốt nhớ
/kaggle/input/vlsp2020/vlsp2020_train_set_02/database/database_sa2_Jan4_Feb29_cleaned_utt_0000033125-1.wav	7.81	chúng tôi có một trang quét bất kể ai có nhu cầu muốn được học hay đào tạo chỉ cần vào trang quét và liên lạc với chúng tôi theo địa chỉ mêu trong đó
